frame,t_s,t_b_s,a_p1_ok,a_p1_x_px,a_p1_y_px,a_p1_x_mm,a_p1_y_mm,a_p1_area,a_p2_ok,a_p2_x_px,a_p2_y_px,a_p2_x_mm,a_p2_y_mm,a_p2_area,b_p1_ok,b_p1_h_px,b_p1_z_px,b_p1_h_mm,b_p1_z_mm,b_p1_area,b_p2_ok,b_p2_h_px,b_p2_z_px,b_p2_h_mm,b_p2_z_mm,b_p2_area
68,0.900146,0.900146,0,0.000000,0.000000,0.000000,0.000000,0,1,723.761475,621.517822,78.064201,67.036308,124,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
70,0.933472,0.933472,0,0.000000,0.000000,0.000000,0.000000,0,1,719.381042,597.703064,77.591743,64.467667,117,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
73,0.966797,0.966797,0,0.000000,0.000000,0.000000,0.000000,0,1,719.379395,573.510193,77.591560,61.858250,122,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
76,1.000122,1.000122,0,0.000000,0.000000,0.000000,0.000000,0,1,722.586182,550.822144,77.937439,59.411137,114,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
77,1.033447,1.033447,0,0.000000,0.000000,0.000000,0.000000,0,1,728.593811,528.935425,78.585419,57.050457,113,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
81,1.066772,1.066772,0,0.000000,0.000000,0.000000,0.000000,0,1,737.230347,507.981689,79.516945,54.790409,117,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
83,1.100098,1.100098,1,904.600342,912.353455,97.569313,98.405556,24,1,748.689758,488.655090,80.752945,52.705860,107,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
85,1.133423,1.133423,1,894.443542,913.087646,96.473808,98.484741,20,1,761.693726,471.943695,82.155540,50.903385,109,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
88,1.166870,1.166870,1,883.808228,913.099854,95.326698,98.486061,20,1,776.292053,457.114563,83.730103,49.303932,103,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
90,1.200195,1.200195,1,873.644531,913.275146,94.230446,98.504967,19,1,791.602661,444.174438,85.381493,47.908222,106,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
94,1.233521,1.233521,1,863.368347,913.047424,93.122070,98.480400,16,1,808.983887,432.749512,87.256218,46.675938,95,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
96,1.266846,1.266846,1,852.663513,912.085022,91.967461,98.376595,19,1,826.197327,422.975891,89.112839,45.621769,103,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
98,1.300171,1.300171,1,841.913635,911.685059,90.807983,98.333458,19,1,845.075928,415.928314,91.149063,44.861622,97,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
101,1.333496,1.333496,1,831.581604,910.484253,89.693581,98.203941,17,1,863.068298,410.652252,93.089706,44.292553,105,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
103,1.366821,1.366821,1,821.959534,908.825562,88.655754,98.025032,12,1,882.519653,407.369507,95.187706,43.938477,99,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
105,1.400146,1.400146,1,811.518127,907.006897,87.529556,97.828873,14,1,902.874084,406.579712,97.383118,43.853291,98,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
107,1.433472,1.433472,1,801.983765,904.771240,86.501190,97.587738,9,1,923.281006,407.339081,99.584190,43.935196,96,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
110,1.466919,1.466919,1,792.939026,902.799561,85.525627,97.375076,9,1,942.372131,411.191345,101.643341,44.350697,97,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
114,1.500244,1.500244,1,782.113708,900.010315,84.358025,97.074234,6,1,962.788940,417.056976,103.845474,44.983360,94,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
116,1.533569,1.533569,1,773.083191,897.187988,83.384003,96.769821,7,1,980.274963,425.365570,105.731506,45.879517,93,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
118,1.566895,1.566895,1,761.258606,894.331055,82.108612,96.461670,7,1,996.949646,435.518433,107.530014,46.974594,100,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
120,1.600220,1.600220,1,752.745911,890.643433,81.190437,96.063934,6,1,1012.693848,448.591034,109.228172,48.384590,96,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
123,1.633545,1.633545,1,743.000000,887.000000,80.139252,95.670952,1,1,1026.754883,464.479248,110.744781,50.098278,97,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
125,1.666870,1.666870,1,735.017578,885.035217,79.278282,95.459030,7,1,1039.100586,482.248993,112.076370,52.014904,96,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
127,1.700195,1.700195,0,0.000000,0.000000,0.000000,0.000000,0,1,1049.896851,502.921326,113.240845,54.244606,81,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
130,1.733521,1.733521,0,0.000000,0.000000,0.000000,0.000000,0,1,1057.399048,527.134155,114.050034,56.856174,92,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
132,1.766968,1.766968,1,711.000000,875.000000,76.687767,94.376648,1,1,1062.284912,552.988342,114.577011,59.644783,97,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
135,1.800293,1.800293,0,0.000000,0.000000,0.000000,0.000000,0,1,1064.092651,581.281372,114.772003,62.696442,98,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
138,1.833618,1.833618,1,695.536560,868.455261,75.019897,93.670738,3,1,1060.435669,612.291077,114.377556,66.041122,93,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
140,1.866943,1.866943,0,0.000000,0.000000,0.000000,0.000000,0,1,1050.206909,642.291199,113.274292,69.276901,112,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
142,1.900269,1.900269,1,677.000000,859.000000,73.020561,92.650902,1,1,1033.930908,672.259216,111.518776,72.509224,114,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
145,1.933594,1.933594,1,671.932556,855.932556,72.473991,92.320053,2,1,1012.148865,698.167175,109.169388,75.303635,125,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
148,1.966919,1.966919,1,667.168030,850.383972,71.960091,91.721588,7,1,986.104126,718.471558,106.360222,77.493645,124,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
151,2.000244,2.000244,0,0.000000,0.000000,0.000000,0.000000,0,1,956.539429,733.625366,103.171410,79.128120,123,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
153,2.033569,2.033569,0,0.000000,0.000000,0.000000,0.000000,0,1,927.225403,741.141479,100.009628,79.938797,120,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
155,2.066895,2.066895,0,0.000000,0.000000,0.000000,0.000000,0,1,897.481628,742.591492,96.801498,80.095192,126,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
157,2.100342,2.100342,0,0.000000,0.000000,0.000000,0.000000,0,1,869.381042,737.494202,93.770592,79.545403,121,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
160,2.133667,2.133667,0,0.000000,0.000000,0.000000,0.000000,0,1,842.712097,727.357849,90.894104,78.452110,131,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
162,2.166992,2.166992,0,0.000000,0.000000,0.000000,0.000000,0,1,818.871033,711.155151,88.322624,76.704506,130,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
165,2.200317,2.200317,0,0.000000,0.000000,0.000000,0.000000,0,1,797.130554,689.236877,85.977722,74.340416,135,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
168,2.233643,2.233643,0,0.000000,0.000000,0.000000,0.000000,0,1,781.176392,665.075378,84.256927,71.734383,118,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
170,2.266968,2.266968,0,0.000000,0.000000,0.000000,0.000000,0,1,767.921936,635.271179,82.827309,68.519730,123,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
172,2.300293,2.300293,0,0.000000,0.000000,0.000000,0.000000,0,1,760.583252,603.850159,82.035767,65.130692,127,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
176,2.333618,2.333618,0,0.000000,0.000000,0.000000,0.000000,0,1,759.620483,571.051514,81.931923,61.593060,119,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
178,2.366943,2.366943,0,0.000000,0.000000,0.000000,0.000000,0,1,764.492371,538.080444,82.457405,58.036831,119,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
180,2.400391,2.400391,0,0.000000,0.000000,0.000000,0.000000,0,1,774.638611,506.527771,83.551765,54.633591,105,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
182,2.433716,2.433716,0,0.000000,0.000000,0.000000,0.000000,0,1,790.226562,477.554749,85.233063,51.508587,107,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
186,2.467041,2.467041,0,0.000000,0.000000,0.000000,0.000000,0,1,808.653320,452.168884,87.220558,48.770493,103,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
188,2.500366,2.500366,0,0.000000,0.000000,0.000000,0.000000,0,1,830.902283,429.423309,89.620308,46.317177,108,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
189,2.533691,2.533691,0,0.000000,0.000000,0.000000,0.000000,0,1,853.444702,411.446106,92.051712,44.378178,95,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
193,2.567017,2.567017,0,0.000000,0.000000,0.000000,0.000000,0,1,876.321777,397.070679,94.519211,42.827656,94,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
195,2.600342,2.600342,0,0.000000,0.000000,0.000000,0.000000,0,1,897.651978,387.716644,96.819862,41.818741,99,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
197,2.633667,2.633667,0,0.000000,0.000000,0.000000,0.000000,0,1,918.146667,381.008911,99.030403,41.095249,96,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
200,2.666992,2.666992,0,0.000000,0.000000,0.000000,0.000000,0,1,937.453491,378.212250,101.112823,40.793606,102,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
203,2.700439,2.700439,0,0.000000,0.000000,0.000000,0.000000,0,1,955.405945,378.158630,103.049156,40.787823,96,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
206,2.733765,2.733765,0,0.000000,0.000000,0.000000,0.000000,0,1,972.378540,380.513916,104.879799,41.041859,96,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
208,2.767090,2.767090,0,0.000000,0.000000,0.000000,0.000000,0,1,988.141663,385.296112,106.579994,41.557659,97,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
210,2.800415,2.800415,0,0.000000,0.000000,0.000000,0.000000,0,1,1004.122803,391.373169,108.303703,42.213131,97,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
213,2.833740,2.833740,0,0.000000,0.000000,0.000000,0.000000,0,1,1018.939941,400.039246,109.901871,43.147842,95,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
215,2.867065,2.867065,0,0.000000,0.000000,0.000000,0.000000,0,1,1031.801392,409.917908,111.289101,44.213345,100,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
219,2.900391,2.900391,0,0.000000,0.000000,0.000000,0.000000,0,1,1044.385498,422.207306,112.646400,45.538868,106,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
221,2.933716,2.933716,0,0.000000,0.000000,0.000000,0.000000,0,1,1056.018311,434.607269,113.901108,46.876316,102,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
223,2.967041,2.967041,0,0.000000,0.000000,0.000000,0.000000,0,1,1065.548340,448.666870,114.928993,48.392769,98,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
225,3.000366,3.000366,0,0.000000,0.000000,0.000000,0.000000,0,1,1074.055664,463.692261,115.846596,50.013393,95,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
227,3.033813,3.033813,1,982.078796,683.921204,105.926056,73.767075,2,1,1081.853760,481.061340,116.687691,51.886806,94,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
231,3.067139,3.067139,1,965.000000,701.000000,104.083961,75.609177,1,1,1087.810303,499.138275,117.330154,53.836567,97,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
233,3.100464,3.100464,1,951.000000,713.000000,102.573929,76.903481,1,1,1092.113403,518.762939,117.794281,55.953266,93,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
235,3.133789,3.133789,1,920.410583,730.313843,99.274582,78.770935,9,1,1094.120850,541.028198,118.010811,58.354771,94,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
238,3.167114,3.167114,1,890.000000,741.277710,95.994530,79.953484,12,1,1094.596680,563.807434,118.062134,60.811718,101,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
240,3.200439,3.200439,1,867.954651,746.264893,93.616745,80.491402,5,1,1093.114380,587.969666,117.902252,63.417831,91,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
242,3.233765,3.233765,1,840.477905,747.000000,90.653122,80.570694,5,1,1088.522217,612.812378,117.406944,66.097343,105,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
244,3.267090,3.267090,1,816.112671,745.774658,88.025116,80.438522,5,1,1081.605591,636.331848,116.660927,68.634132,107,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
248,3.300415,3.300415,1,790.733154,739.490479,85.287704,79.760719,8,1,1072.227417,659.929871,115.649399,71.179398,122,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
250,3.333862,3.333862,1,769.000000,731.000000,82.943588,78.844948,1,1,1059.706299,683.940491,114.298889,73.769150,114,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
252,3.367188,3.367188,1,742.733521,716.437134,80.110512,77.274208,8,1,1045.106689,706.298706,112.724182,76.180687,124,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
255,3.400513,3.400513,1,724.847229,703.319458,78.181313,75.859352,5,1,1028.924927,726.969604,110.978836,78.410233,120,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
257,3.433838,3.433838,1,708.478210,688.649048,76.415764,74.277008,11,1,1010.404541,746.058472,108.981247,80.469139,120,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
