frame,t_s,t_b_s,a_p1_ok,a_p1_x_px,a_p1_y_px,a_p1_x_mm,a_p1_y_mm,a_p1_area,a_p2_ok,a_p2_x_px,a_p2_y_px,a_p2_x_mm,a_p2_y_mm,a_p2_area,b_p1_ok,b_p1_h_px,b_p1_z_px,b_p1_h_mm,b_p1_z_mm,b_p1_area,b_p2_ok,b_p2_h_px,b_p2_z_px,b_p2_h_mm,b_p2_z_mm,b_p2_area
82,2.040405,2.040405,1,847.969971,519.007202,91.461212,55.979607,142,1,1062.473633,762.815063,114.597374,82.276489,362,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
85,2.073730,2.073730,1,849.817749,521.912842,91.660515,56.293011,154,1,1040.512451,785.931580,112.228653,84.769814,368,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
88,2.107056,2.107056,1,850.095947,525.501221,91.690521,56.680046,132,1,1016.527161,807.019470,109.641624,87.044327,359,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
91,2.140503,2.140503,1,844.942993,529.987305,91.134727,57.163914,157,1,990.878601,825.871887,106.875198,89.077736,366,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
94,2.173828,2.173828,1,840.624451,532.641724,90.668930,57.450218,149,1,963.668335,840.858826,103.940323,90.694206,358,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
97,2.207153,2.207153,1,835.234314,531.449585,90.087555,57.321632,155,1,935.148926,853.796143,100.864250,92.089622,361,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
99,2.240479,2.240479,1,835.294067,530.660889,90.094002,57.236565,143,1,906.155823,864.132385,97.737083,93.204475,359,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
103,2.273804,2.273804,1,835.356506,529.813904,90.100739,57.145210,127,1,876.613464,872.311829,94.550674,94.086708,361,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
107,2.307129,2.307129,1,836.483215,531.119202,90.222267,57.285995,142,1,846.940735,877.422729,91.350204,94.637955,364,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
109,2.340454,2.340454,1,837.622803,527.833984,90.345177,56.931660,145,1,817.338745,879.737061,88.157356,94.887581,356,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
113,2.373779,2.373779,1,841.058899,532.842346,90.715790,57.471851,145,1,788.297058,879.853821,85.024948,94.900177,361,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
115,2.407104,2.407104,1,837.610291,538.702271,90.343834,58.103897,144,1,758.865112,878.325256,81.850456,94.735306,365,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
118,2.440552,2.440552,1,835.111877,536.917053,90.074348,57.911346,140,1,729.671875,873.711731,78.701691,94.237694,370,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
121,2.473877,2.473877,1,825.622742,538.161194,89.050858,58.045544,149,1,700.137207,866.421387,75.516113,93.451363,373,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
124,2.507202,2.507202,1,817.075317,533.123840,88.128952,57.502220,142,1,672.106445,856.887695,72.492744,92.423065,365,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
126,2.540527,2.540527,1,814.831604,526.917114,87.886940,56.832764,140,1,644.357727,844.471191,69.499794,91.083839,376,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
130,2.573853,2.573853,1,820.040222,522.834045,88.448738,56.392372,144,1,617.040466,831.032715,66.553383,89.634377,372,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
134,2.607178,2.607178,1,830.348083,524.441956,89.560539,56.565800,143,1,590.382812,814.773010,63.678116,87.880623,381,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
136,2.640503,2.640503,1,828.597107,529.854614,89.371674,57.149601,144,1,565.329407,795.541626,60.975880,85.806343,383,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
139,2.673828,2.673828,1,821.198242,528.128601,88.573639,56.963432,142,1,542.147461,773.315979,58.475494,83.409103,370,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
