indice,t_s
456,16.562500
457,16.609375
458,16.640625
459,16.671875
460,16.703125
461,16.734375
462,16.765625
463,16.796875
464,16.835938
465,16.867188
466,16.898438
467,16.929688
468,16.960938
469,17.007812
470,17.039062
471,17.070312
472,17.101562
473,17.132812
474,17.171875
475,17.203125
476,17.234375
477,17.265625
478,17.296875
479,17.328125
480,17.359375
481,17.406250
482,17.437500
483,17.468750
484,17.507812
485,17.539062
486,17.570312
487,17.601562
488,17.632812
489,17.664062
490,17.695312
491,17.726562
492,17.757812
493,17.789062
494,17.843750
495,17.875000
496,17.906250
497,17.937500
498,17.968750
499,18.000000
500,18.031250
501,18.062500
502,18.093750
503,18.125000
504,18.164062
505,18.195312
506,18.242188
507,18.273438
508,18.304688
509,18.335938
510,18.367188
511,18.398438
512,18.429688
513,18.460938
514,18.500000
515,18.531250
516,18.562500
517,18.593750
518,18.640625
519,18.671875
520,18.703125
521,18.734375
522,18.765625
523,18.796875
524,18.835938
525,18.867188
526,18.898438
527,18.929688
528,18.960938
529,18.992188
530,19.039062
531,19.070312
532,19.101562
533,19.132812
534,19.171875
535,19.203125
536,19.234375
537,19.265625
538,19.296875
539,19.328125
540,19.359375
541,19.390625
542,19.437500
543,19.468750
544,19.507812
545,19.539062
546,19.570312
547,19.601562
548,19.632812
549,19.664062
550,19.695312
551,19.726562
552,19.757812
553,19.789062
554,19.828125
555,19.875000
556,19.906250
557,19.937500
558,19.968750
559,20.000000
560,20.031250
561,20.062500
562,20.093750
563,20.125000
564,20.164062
565,20.195312
566,20.226562
567,20.273438
568,20.304688
569,20.335938
570,20.367188
571,20.398438
572,20.429688
573,20.460938
574,20.500000
575,20.531250
576,20.562500
577,20.593750
578,20.625000
579,20.671875
580,20.703125
581,20.734375
582,20.765625
583,20.796875
584,20.835938
585,20.867188
586,20.898438
587,20.929688
588,20.960938
589,20.992188
590,21.023438
591,21.070312
592,21.101562
593,21.132812
594,21.171875
595,21.203125
596,21.234375
597,21.265625
598,21.296875
599,21.328125
600,21.359375
601,21.390625
602,21.421875
603,21.468750
604,21.507812
605,21.539062
606,21.570312
607,21.601562
608,21.632812
609,21.664062
610,21.695312
611,21.726562
612,21.757812
613,21.789062
614,21.828125
615,21.875000
616,21.906250
617,21.937500
618,21.968750
619,22.000000
620,22.031250
621,22.062500
622,22.093750
623,22.125000
624,22.164062
625,22.195312
626,22.226562
627,22.257812
628,22.304688
629,22.335938
630,22.367188
631,22.398438
632,22.429688
633,22.460938
634,22.500000
635,22.531250
636,22.562500
637,22.593750
638,22.625000
639,22.656250
640,22.703125
641,22.734375
642,22.765625
643,22.804688
644,22.835938
645,22.867188
646,22.898438
647,22.929688
648,22.960938
649,22.992188
650,23.023438
651,23.054688
652,23.101562
653,23.132812
654,23.171875
655,23.203125
656,23.234375
657,23.265625
658,23.296875
659,23.328125
660,23.359375
661,23.390625
662,23.421875
663,23.453125
664,23.507812
665,23.539062
666,23.570312
667,23.601562
668,23.632812
669,23.664062
670,23.695312
671,23.726562
672,23.757812
673,23.789062
674,23.828125
675,23.859375
676,23.906250
677,23.937500
678,23.968750
679,24.000000
680,24.031250
681,24.062500
682,24.093750
683,24.125000
684,24.164062
685,24.195312
686,24.226562
687,24.257812
688,24.304688
689,24.335938
690,24.367188
691,24.398438
692,24.429688
693,24.460938
694,24.500000
695,24.531250
696,24.562500
697,24.593750
698,24.625000
699,24.656250
700,24.687500
701,24.734375
702,24.765625
703,24.796875
704,24.835938
705,24.867188
706,24.898438
707,24.929688
708,24.960938
709,24.992188
710,25.023438
