indice,t_s
0,0.000000
1,0.031250
2,0.062500
3,0.093750
4,0.156250
5,0.226562
6,0.289062
7,0.335938
8,0.367188
9,0.398438
10,0.429688
11,0.460938
12,0.492188
13,0.531250
14,0.562500
15,0.593750
16,0.625000
17,0.656250
18,0.687500
19,0.734375
20,0.765625
21,0.796875
22,0.828125
23,0.867188
24,0.898438
25,0.929688
26,0.960938
27,0.992188
28,1.023438
29,1.054688
30,1.085938
31,1.117188
32,1.164062
33,1.203125
34,1.234375
35,1.265625
36,1.296875
37,1.328125
38,1.359375
39,1.390625
40,1.421875
41,1.453125
42,1.484375
43,1.523438
44,1.570312
45,1.601562
46,1.632812
47,1.664062
48,1.695312
49,1.726562
50,1.757812
51,1.789062
52,1.820312
53,1.859375
54,1.890625
55,1.921875
56,1.968750
57,2.000000
58,2.031250
59,2.062500
60,2.093750
61,2.125000
62,2.156250
63,2.195312
64,2.226562
65,2.257812
66,2.289062
67,2.320312
68,2.367188
69,2.398438
70,2.429688
71,2.460938
72,2.492188
73,2.531250
74,2.562500
75,2.593750
76,2.625000
77,2.656250
78,2.687500
79,2.718750
80,2.765625
81,2.796875
82,2.828125
83,2.867188
84,2.898438
85,2.929688
86,2.960938
87,2.992188
88,3.023438
