indice,t_s
0,0.000000
1,0.031250
2,0.062500
3,0.109375
4,0.171875
5,0.242188
6,0.304688
7,0.335938
8,0.367188
9,0.398438
10,0.460938
11,0.507812
12,0.546875
13,0.578125
14,0.609375
15,0.640625
16,0.671875
17,0.703125
18,0.734375
19,0.765625
20,0.796875
21,0.828125
22,0.859375
23,0.914062
24,0.945312
25,0.976562
26,1.007812
27,1.039062
28,1.070312
29,1.101562
30,1.132812
31,1.164062
32,1.195312
33,1.234375
34,1.265625
35,1.312500
36,1.343750
37,1.375000
38,1.406250
39,1.437500
40,1.468750
41,1.500000
42,1.531250
43,1.570312
44,1.601562
45,1.632812
46,1.664062
47,1.710938
48,1.742188
49,1.773438
50,1.804688
51,1.835938
52,1.867188
53,1.906250
54,1.937500
55,1.968750
56,2.000000
57,2.031250
58,2.062500
59,2.093750
60,2.140625
61,2.171875
62,2.210938
63,2.242188
64,2.273438
65,2.304688
66,2.335938
67,2.367188
68,2.398438
69,2.429688
70,2.460938
71,2.492188
72,2.546875
73,2.578125
74,2.609375
75,2.640625
76,2.671875
77,2.703125
78,2.734375
79,2.765625
80,2.796875
81,2.828125
82,2.859375
83,2.898438
84,2.945312
85,2.976562
86,3.007812
