frame,t_s,xc_px,yc_px,xc_mm,yc_mm,seguido,area_px
0,0.04569,1119.764,547.069,218.5118,106.7555,0,0
1,0.09137,1119.764,547.069,218.5118,106.7555,0,0
2,0.12183,1119.764,547.069,218.5118,106.7555,0,0
3,0.15229,1119.764,547.069,218.5118,106.7555,0,0
4,0.18275,1119.764,547.069,218.5118,106.7555,0,0
5,0.21321,1119.764,547.069,218.5118,106.7555,0,0
6,0.24366,1119.764,547.069,218.5118,106.7555,0,0
7,0.27412,1119.764,547.069,218.5118,106.7555,0,0
8,0.30458,1119.764,547.069,218.5118,106.7555,0,0
9,0.33504,1119.764,547.069,218.5118,106.7555,0,0
10,0.36550,1119.764,547.069,218.5118,106.7555,0,0
11,0.41118,1119.764,547.069,218.5118,106.7555,0,0
12,0.44164,1119.764,547.069,218.5118,106.7555,0,0
13,0.48733,1119.764,547.069,218.5118,106.7555,0,0
14,0.51779,1119.764,547.069,218.5118,106.7555,0,0
15,0.54825,1119.764,547.069,218.5118,106.7555,0,0
16,0.57870,1119.764,547.069,218.5118,106.7555,0,0
17,0.60916,1119.764,547.069,218.5118,106.7555,0,0
18,0.63962,1119.764,547.069,218.5118,106.7555,0,0
19,0.67008,1119.764,547.069,218.5118,106.7555,0,0
20,0.70054,1119.764,547.069,218.5118,106.7555,0,0
21,0.73099,1119.764,547.069,218.5118,106.7555,0,0
22,0.76145,1119.764,547.069,218.5118,106.7555,0,0
23,0.80714,1119.764,547.069,218.5118,106.7555,0,0
24,0.83760,1119.764,547.069,218.5118,106.7555,0,0
25,0.88329,1119.764,547.069,218.5118,106.7555,0,0
26,0.91374,1119.764,547.069,218.5118,106.7555,0,0
27,0.94420,1119.764,547.069,218.5118,106.7555,0,0
28,0.97466,1119.764,547.069,218.5118,106.7555,0,0
29,1.00512,1119.764,547.069,218.5118,106.7555,0,0
30,1.03558,1119.764,547.069,218.5118,106.7555,0,0
31,1.06603,1119.764,547.069,218.5118,106.7555,0,0
32,1.09649,1119.764,547.069,218.5118,106.7555,0,0
33,1.12695,1119.764,547.069,218.5118,106.7555,0,0
34,1.15741,1119.764,547.069,218.5118,106.7555,0,0
35,1.20310,1119.764,547.069,218.5118,106.7555,0,0
36,1.23355,1119.764,547.069,218.5118,106.7555,0,0
37,1.27924,1119.764,547.069,218.5118,106.7555,0,0
38,1.30970,1119.764,547.069,218.5118,106.7555,0,0
39,1.34016,1119.764,547.069,218.5118,106.7555,0,0
40,1.37062,1119.764,547.069,218.5118,106.7555,0,0
41,1.40107,1119.764,547.069,218.5118,106.7555,0,0
