Tiempo,VoltajeCH1,ResolucionVCH1
-2.6e-06,0.008,0.004
-2.5800000000000003e-06,0.0,0.004
-2.56e-06,0.008,0.004
-2.5400000000000002e-06,0.008,0.004
-2.52e-06,0.004,0.004
-2.5e-06,0.004,0.004
-2.48e-06,0.0,0.004
-2.46e-06,0.004,0.004
-2.44e-06,0.008,0.004
-2.42e-06,0.008,0.004
-2.4e-06,0.0,0.004
-2.38e-06,0.008,0.004
-2.3600000000000003e-06,0.008,0.004
-2.34e-06,0.004,0.004
-2.3200000000000002e-06,0.008,0.004
-2.3e-06,0.004,0.004
-2.28e-06,0.012,0.004
-2.26e-06,0.004,0.004
-2.24e-06,0.012,0.004
-2.22e-06,0.008,0.004
-2.2e-06,0.0,0.004
-2.1800000000000003e-06,0.008,0.004
-2.16e-06,0.004,0.004
-2.1400000000000003e-06,0.0,0.004
-2.12e-06,-0.004,0.004
-2.1000000000000002e-06,0.004,0.004
-2.08e-06,0.012,0.004
-2.06e-06,0.004,0.004
-2.04e-06,0.012,0.004
-2.02e-06,0.0,0.004
-2.0000000000000003e-06,0.004,0.004
-1.98e-06,0.008,0.004
-1.96e-06,0.004,0.004
-1.94e-06,0.004,0.004
-1.9200000000000003e-06,0.0,0.004
-1.9e-06,0.008,0.004
-1.8800000000000002e-06,0.012,0.004
-1.86e-06,0.008,0.004
-1.8400000000000002e-06,0.004,0.004
-1.82e-06,0.008,0.004
-1.8000000000000001e-06,0.004,0.004
-1.7800000000000001e-06,0.008,0.004
-1.76e-06,0.012,0.004
-1.74e-06,0.004,0.004
-1.72e-06,0.008,0.004
-1.7e-06,0.008,0.004
-1.68e-06,0.012,0.004
-1.6600000000000002e-06,0.012,0.004
-1.64e-06,0.012,0.004
-1.6200000000000002e-06,0.012,0.004
-1.6000000000000001e-06,0.008,0.004
-1.5800000000000001e-06,0.008,0.004
-1.56e-06,0.008,0.004
-1.54e-06,0.0,0.004
-1.52e-06,0.004,0.004
-1.5e-06,0.004,0.004
-1.48e-06,0.012,0.004
-1.46e-06,0.008,0.004
-1.44e-06,0.004,0.004
-1.4200000000000002e-06,0.008,0.004
-1.4000000000000001e-06,0.004,0.004
-1.3800000000000001e-06,0.008,0.004
-1.3600000000000001e-06,0.008,0.004
-1.34e-06,0.008,0.004
-1.32e-06,0.004,0.004
-1.3e-06,0.008,0.004
-1.28e-06,0.008,0.004
-1.26e-06,0.0,0.004
-1.24e-06,0.012,0.004
-1.22e-06,0.004,0.004
-1.2000000000000002e-06,0.008,0.004
-1.1800000000000001e-06,0.0,0.004
-1.1600000000000001e-06,0.004,0.004
-1.14e-06,0.004,0.004
-1.12e-06,0.008,0.004
-1.1e-06,0.008,0.004
-1.08e-06,0.004,0.004
-1.06e-06,0.008,0.004
-1.04e-06,0.008,0.004
-1.02e-06,0.008,0.004
-1.0000000000000002e-06,0.012,0.004
-9.800000000000001e-07,0.004,0.004
-9.600000000000001e-07,0.012,0.004
-9.400000000000001e-07,0.008,0.004
-9.200000000000001e-07,0.008,0.004
-9.000000000000001e-07,0.012,0.004
-8.8e-07,0.004,0.004
-8.6e-07,0.016,0.004
-8.4e-07,0.012,0.004
-8.2e-07,0.008,0.004
-8e-07,0.004,0.004
-7.800000000000002e-07,0.004,0.004
-7.600000000000001e-07,0.012,0.004
-7.400000000000001e-07,0.004,0.004
-7.200000000000001e-07,0.008,0.004
-7.000000000000001e-07,0.004,0.004
-6.799999999999998e-07,0.008,0.004
-6.6e-07,0.008,0.004
-6.400000000000002e-07,0.004,0.004
-6.2e-07,0.008,0.004
-6.000000000000002e-07,0.004,0.004
-5.8e-07,0.004,0.004
-5.600000000000001e-07,0.008,0.004
-5.399999999999999e-07,0.004,0.004
-5.200000000000001e-07,0.008,0.004
-4.999999999999999e-07,0.004,0.004
-4.800000000000001e-07,0.004,0.004
-4.6000000000000025e-07,0.008,0.004
-4.4e-07,0.012,0.004
-4.200000000000002e-07,0.0,0.004
