Tiempo,VoltajeCH1,ResolucionVCH1
-6.8e-07,0.004,0.004
-6.76e-07,0.0,0.004
-6.72e-07,0.008,0.004
-6.68e-07,0.004,0.004
-6.639999999999999e-07,0.004,0.004
-6.599999999999999e-07,0.012,0.004
-6.559999999999999e-07,0.008,0.004
-6.52e-07,0.008,0.004
-6.48e-07,0.004,0.004
-6.439999999999999e-07,0.012,0.004
-6.399999999999999e-07,0.012,0.004
-6.359999999999999e-07,0.008,0.004
-6.319999999999999e-07,0.0,0.004
-6.28e-07,0.008,0.004
-6.24e-07,0.004,0.004
-6.2e-07,0.008,0.004
-6.159999999999999e-07,0.008,0.004
-6.119999999999999e-07,0.004,0.004
-6.079999999999999e-07,0.004,0.004
-6.04e-07,0.016,0.004
-6e-07,0.004,0.004
-5.959999999999999e-07,0.008,0.004
-5.919999999999999e-07,0.004,0.004
-5.879999999999999e-07,0.004,0.004
-5.839999999999999e-07,0.004,0.004
-5.8e-07,0.004,0.004
-5.76e-07,0.008,0.004
-5.72e-07,0.004,0.004
-5.679999999999999e-07,0.008,0.004
-5.639999999999999e-07,0.004,0.004
-5.599999999999999e-07,0.004,0.004
-5.56e-07,0.008,0.004
-5.52e-07,0.012,0.004
-5.479999999999999e-07,0.0,0.004
-5.44e-07,0.004,0.004
-5.399999999999999e-07,0.004,0.004
-5.359999999999999e-07,0.004,0.004
-5.319999999999999e-07,0.004,0.004
-5.28e-07,0.008,0.004
-5.24e-07,0.004,0.004
-5.199999999999999e-07,0.008,0.004
-5.159999999999999e-07,0.008,0.004
-5.119999999999999e-07,0.012,0.004
-5.079999999999999e-07,0.004,0.004
-5.04e-07,0.004,0.004
-4.999999999999999e-07,0.008,0.004
-4.96e-07,0.008,0.004
-4.919999999999999e-07,0.008,0.004
-4.879999999999999e-07,0.008,0.004
-4.839999999999999e-07,-0.004,0.004
-4.8e-07,0.008,0.004
-4.76e-07,0.004,0.004
-4.7199999999999994e-07,0.004,0.004
-4.679999999999999e-07,0.008,0.004
-4.639999999999999e-07,0.004,0.004
-4.5999999999999994e-07,0.012,0.004
-4.5599999999999995e-07,0.012,0.004
-4.5199999999999997e-07,0.008,0.004
-4.4799999999999994e-07,0.004,0.004
-4.439999999999999e-07,0.008,0.004
-4.399999999999999e-07,0.008,0.004
-4.3599999999999993e-07,0.012,0.004
-4.3199999999999995e-07,0.004,0.004
-4.279999999999999e-07,0.004,0.004
-4.2399999999999993e-07,0.008,0.004
-4.1999999999999995e-07,0.008,0.004
-4.159999999999999e-07,0.004,0.004
-4.1199999999999993e-07,0.016,0.004
-4.0799999999999995e-07,0.008,0.004
-4.039999999999999e-07,0.012,0.004
-3.9999999999999993e-07,0.008,0.004
-3.9599999999999995e-07,0.012,0.004
-3.919999999999999e-07,0.008,0.004
-3.8799999999999993e-07,0.008,0.004
-3.8399999999999994e-07,0.004,0.004
-3.799999999999999e-07,0.012,0.004
-3.759999999999999e-07,0.004,0.004
-3.7199999999999994e-07,0.004,0.004
-3.679999999999999e-07,0.0,0.004
-3.639999999999999e-07,0.012,0.004
-3.5999999999999994e-07,0.008,0.004
-3.559999999999999e-07,0.008,0.004
-3.519999999999999e-07,0.004,0.004
-3.4799999999999994e-07,0.012,0.004
-3.439999999999999e-07,0.008,0.004
-3.399999999999999e-07,0.004,0.004
-3.3599999999999994e-07,0.0,0.004
-3.319999999999999e-07,0.008,0.004
-3.279999999999999e-07,0.004,0.004
-3.2399999999999994e-07,0.004,0.004
-3.199999999999999e-07,0.012,0.004
-3.159999999999999e-07,0.004,0.004
-3.1199999999999994e-07,0.012,0.004
-3.079999999999999e-07,0.008,0.004
-3.039999999999999e-07,0.008,0.004
-2.9999999999999993e-07,0.0,0.004
-2.959999999999999e-07,0.012,0.004
-2.919999999999999e-07,0.008,0.004
-2.8799999999999993e-07,0.008,0.004
-2.8399999999999995e-07,0.008,0.004
-2.799999999999999e-07,0.008,0.004
-2.7599999999999993e-07,0.012,0.004
-2.7199999999999995e-07,0.012,0.004
-2.679999999999999e-07,0.008,0.004
-2.6399999999999993e-07,0.012,0.004
-2.5999999999999995e-07,0.012,0.004
-2.559999999999999e-07,0.008,0.004
-2.5199999999999993e-07,0.008,0.004
-2.4799999999999994e-07,0.016,0.004
-2.439999999999999e-07,0.004,0.004
-2.399999999999999e-07,0.008,0.004
-2.3599999999999994e-07,0.0,0.004
-2.319999999999999e-07,0.016,0.004
-2.2799999999999992e-07,0.012,0.004
-2.2399999999999994e-07,0.012,0.004
-2.199999999999999e-07,0.016,0.004
-2.1599999999999992e-07,0.016,0.004
-2.1199999999999994e-07,0.012,0.004
-2.079999999999999e-07,0.016,0.004
-2.0399999999999992e-07,0.016,0.004
-1.9999999999999989e-07,0.016,0.004
-1.959999999999999e-07,0.016,0.004
-1.9199999999999992e-07,0.02,0.004
-1.8799999999999994e-07,0.016,0.004
-1.8399999999999995e-07,0.012,0.004
-1.7999999999999986e-07,0.024,0.004
-1.7599999999999988e-07,0.016,0.004
-1.719999999999999e-07,0.02,0.004
-1.6799999999999992e-07,0.02,0.004
-1.6399999999999993e-07,0.02,0.004
-1.5999999999999995e-07,0.024,0.004
-1.5599999999999997e-07,0.028,0.004
-1.5199999999999988e-07,0.032,0.004
-1.479999999999999e-07,0.028,0.004
-1.439999999999999e-07,0.036000000000000004,0.004
-1.3999999999999993e-07,0.032,0.004
-1.3599999999999995e-07,0.028,0.004
