indice,t_s
0,0.000000
1,0.031250
2,0.062500
3,0.093750
4,0.156250
5,0.218750
6,0.289062
7,0.320312
8,0.351562
9,0.398438
10,0.429688
11,0.460938
12,0.492188
13,0.523438
14,0.554688
15,0.585938
16,0.625000
17,0.656250
18,0.687500
19,0.718750
20,0.750000
21,0.796875
22,0.828125
23,0.859375
24,0.890625
25,0.921875
26,0.960938
27,0.992188
28,1.023438
29,1.054688
30,1.085938
31,1.117188
32,1.148438
33,1.195312
34,1.226562
35,1.257812
36,1.296875
37,1.328125
38,1.359375
39,1.390625
40,1.421875
41,1.453125
42,1.484375
43,1.515625
44,1.546875
45,1.593750
46,1.632812
47,1.664062
48,1.695312
49,1.726562
50,1.757812
51,1.789062
52,1.820312
53,1.851562
54,1.882812
55,1.914062
56,1.953125
57,2.000000
58,2.031250
59,2.062500
60,2.093750
61,2.125000
62,2.156250
63,2.187500
64,2.218750
65,2.250000
66,2.289062
67,2.320312
68,2.351562
69,2.382812
70,2.429688
71,2.460938
72,2.492188
73,2.523438
74,2.554688
75,2.585938
76,2.625000
77,2.656250
78,2.687500
79,2.718750
80,2.750000
81,2.781250
82,2.828125
83,2.859375
84,2.890625
85,2.921875
86,2.960938
87,2.992188
88,3.023438
