frame_idx,timestamp_s,intervalo_ms
0,36242.134390,
1,36242.164957,30.567130997951608
2,36242.200447,35.49077599745942
3,36242.232183,31.735756005218718
4,36242.264515,32.33179399830988
5,36242.300446,35.931263999373186
6,36242.331891,31.444788997760043
7,36242.364591,32.70023700315505
8,36242.400451,35.859288000210654
9,36242.432583,32.13274099834962
10,36242.464436,31.852444997639395
11,36242.500437,36.00092299893731
12,36242.532434,31.997237005271018
13,36242.564460,32.02574999886565
14,36242.600418,35.958273998403456
15,36242.632427,32.009440001274925
16,36242.663905,31.47737099789083
17,36242.700547,36.642468003265094
18,36242.732434,31.88644799956819
19,36242.764419,31.985073997930158
20,36242.800425,36.006244001328014
21,36242.832418,31.99333899829071
22,36242.864437,32.01914799865335
23,36242.900417,35.97949400136713
24,36242.931983,31.565586003125645
25,36242.964135,32.15283899771748
26,36243.000451,36.31535400199937
27,36243.032075,31.623785995179787
28,36243.064669,32.59408700250788
29,36243.100420,35.75102399918251
30,36243.132451,32.03115100041032
31,36243.164065,31.614056999387685
32,36243.200428,36.36313400056679
33,36243.232428,31.999621001887135
34,36243.264173,31.745633998070844
35,36243.300519,36.345270003948826
36,36243.332461,31.942513996909838
37,36243.364494,32.03341500193346
38,36243.400516,36.02135199616896
39,36243.432552,32.03608900366817
40,36243.464541,31.989161994715687
41,36243.500507,35.965898001450114
42,36243.531895,31.388394003442954
43,36243.564540,32.64430999843171
44,36243.600407,35.86725400236901
45,36243.632515,32.10816399951
46,36243.664573,32.057529999292456
47,36243.700443,35.87010799674317
48,36243.732495,32.05226999853039
49,36243.764586,32.09061300003668
50,36243.800449,35.86326500226278
51,36243.832493,32.04402400297113
52,36243.864603,32.10968799976399
53,36243.899972,35.36927799723344
54,36243.932492,32.519778003916144
55,36243.964560,32.06825899542309
56,36244.000448,35.888293001335114
57,36244.031987,31.5385959984269
58,36244.064591,32.604436004476156
59,36244.100408,35.81720899819629
60,36244.131880,31.47165999689605
61,36244.164526,32.64631500496762
62,36244.200134,35.60806699533714
63,36244.231981,31.846243000472896
64,36244.264070,32.08882800390711
65,36244.299884,35.81418300018413
66,36244.331990,32.10624199709855
67,36244.363930,31.940369997755624
68,36244.400069,36.138242001470644
69,36244.431879,31.810125001356937
70,36244.463922,32.04290199937532
71,36244.499865,35.94323599827476
72,36244.531875,32.01053200609749
73,36244.563924,32.04863299470162
74,36244.599903,35.9795030017267
75,36244.631863,31.959114996425342
76,36244.663931,32.06812000280479
77,36244.699865,35.93422900303267
78,36244.731893,32.027934001234826
79,36244.763922,32.029426998633426
80,36244.799955,36.03237299830653
81,36244.831925,31.9699550018413
82,36244.863899,31.974434001313057
83,36244.899847,35.94839499419322
84,36244.931929,32.08104499935871
85,36244.963922,31.993018004868645
86,36244.999948,36.026631998538505
87,36245.032041,32.09237499686424
88,36245.064447,32.40672600077232
89,36245.099963,35.51566300302511
90,36245.132575,32.61173999635503
91,36245.164420,31.84485100064194
92,36245.200431,36.01105200505117
93,36245.232517,32.086614999570884
94,36245.264538,32.02113099541748
95,36245.300046,35.507277003489435
96,36245.332078,32.032112998422235
97,36245.364540,32.462570001371205
98,36245.400050,35.510052999597974
99,36245.432659,32.60896499705268
100,36245.464505,31.846142999711446
101,36245.500435,35.92972000478767
102,36245.532214,31.77874600078212
103,36245.564484,32.27053999580676
104,36245.600432,35.94728300231509
105,36245.632503,32.07133599789813
106,36245.664483,31.980334002582822
107,36245.700491,36.0075569988112
108,36245.732553,32.06157699605683
109,36245.764268,31.715638004243374
110,36245.800502,36.233621001883876
111,36245.832513,32.01087199704489
112,36245.864035,31.52214500005357
113,36245.900145,36.11060899856966
114,36245.932122,31.976719001249876
115,36245.964427,32.305084001563955
116,36246.000453,36.02595099800965
117,36246.032092,31.63919500366319
118,36246.064503,32.41072200034978
119,36246.100449,35.94617199996719
120,36246.132147,31.697232996521052
121,36246.164110,31.96342299634125
122,36246.200427,36.31707800377626
123,36246.232182,31.754900999658275
124,36246.264510,32.328168003004976
125,36246.300443,35.93319699575659
126,36246.332481,32.037962999311276
127,36246.364403,31.92216600291431
128,36246.400431,36.02760400099214
129,36246.432467,32.03557799861301
130,36246.464495,32.02845600026194
131,36246.500162,35.66681600204902
132,36246.531878,31.71658000064781
133,36246.564627,32.748746998549905
134,36246.600425,35.7980429980671
135,36246.632508,32.083028003398795
136,36246.664537,32.02888599480502
137,36246.700463,35.92584300349699
138,36246.732414,31.95147099904716
139,36246.764124,31.7090559983626
140,36246.800410,36.286740003561135
141,36246.832408,31.997957994462922
142,36246.864490,32.08197600179119
143,36246.900442,35.9513910007081
144,36246.932438,31.99615400080802
145,36246.964496,32.058422002592124
146,36247.000213,35.71665999334073
147,36247.032445,32.23174700542586
148,36247.064488,32.04339299554704
149,36247.100504,36.01574200001778
150,36247.131960,31.455939999432303
151,36247.164114,32.15421200002311
152,36247.200574,36.46044600463938
153,36247.232537,31.96241099794861
154,36247.264184,31.64713000296615
155,36247.300547,36.3627729966538
156,36247.331969,31.422327003383543
157,36247.364500,32.5312689965358
158,36247.400515,36.01452000293648
159,36247.432427,31.91261799656786
160,36247.464113,31.685731999459676
161,36247.500544,36.430780004593544
162,36247.532417,31.87266299937619
163,36247.564516,32.0998690003762
164,36247.600585,36.06911200040486
165,36247.632497,31.911936996039003
166,36247.664575,32.077818003017455
167,36247.700567,35.99187600048026
168,36247.731896,31.328781995398458
169,36247.764655,32.758686000306625
170,36247.800517,35.86243400059175
171,36247.832423,31.906135998724494
172,36247.864489,32.06612600479275
173,36247.900426,35.936882995883934
174,36247.932417,31.991165000363253
175,36247.964527,32.109347004734445
176,36248.000082,35.5548869993072
177,36248.032512,32.430238999950234
178,36248.064485,31.97322199412156
179,36248.100447,35.962211004516575
