frame_idx,timestamp_s,intervalo_ms
0,39222.478953,
1,39222.537389,58.43627899594139
2,39222.605203,67.8141630050959
3,39222.669228,64.02459299715701
4,39222.737204,67.97604000166757
5,39222.785313,48.10958299640333
6,39222.836752,51.43828000291251
7,39222.884634,47.88281299988739
8,39222.936796,52.16192900115857
9,39222.984797,48.00042600254528
10,39223.036761,51.96379499830073
11,39223.085160,48.3996399998432
12,39223.136591,51.430996994895395
13,39223.184805,48.21425000409363
14,39223.236425,51.61997400136897
15,39223.285111,48.685752000892535
16,39223.337173,52.06145999545697
17,39223.384590,47.41698100406211
18,39223.436993,52.40325599879725
19,39223.485172,48.17930400167825
20,39223.536576,51.404145000560675
21,39223.584583,48.006537996116094
22,39223.636388,51.804843002173584
23,39223.685027,48.63973600004101
24,39223.736801,51.77350399753777
25,39223.785310,48.50861700106179
26,39223.836638,51.32888400112279
27,39223.885205,48.56686700077262
28,39223.936637,51.431497995508835
29,39223.985387,48.750204005045816
30,39224.037173,51.786348994937725
31,39224.085218,48.04464900371386
32,39224.132778,47.55985199881252
33,39224.184833,52.054886997211725
34,39224.233110,48.27745000511641
35,39224.284770,51.659910001035314
36,39224.332670,47.89976499887416
37,39224.385189,52.51955700077815
38,39224.432613,47.42390399769647
39,39224.484680,52.06704999727663
40,39224.532943,48.26223100099014
41,39224.584995,52.05210100393742
42,39224.632775,47.780068998690695
43,39224.685208,52.43365399655886
44,39224.732905,47.69613900134573
45,39224.784837,51.93220500223106
46,39224.833197,48.35974500019802
47,39224.884820,51.623500999994576
48,39224.932879,48.059136999654584
49,39224.985214,52.33435500122141
50,39225.033187,47.9731039959006
51,39225.084946,51.75936700106831
52,39225.132812,47.866161999991164
53,39225.184974,52.16193899832433
54,39225.233205,48.23112300073262
55,39225.284881,51.675909002369735
56,39225.333202,48.32050099503249
57,39225.384660,51.45807799999602
58,39225.433187,48.527273000217974
59,39225.480824,47.63663700578036
60,39225.532721,51.89776999759488
61,39225.580809,48.08751100063091
62,39225.633211,52.40199300169479
63,39225.680783,47.572545998264104
64,39225.733222,52.43870399863226
65,39225.780701,47.478608998062555
66,39225.833193,52.49188300513197
67,39225.881238,48.04493999836268
68,39225.933213,51.97497500194004
69,39225.980731,47.517972998321056
70,39226.033213,52.482886996585876
71,39226.080914,47.70079900481505
72,39226.132873,51.95885399734834
73,39226.180988,48.114983997948
74,39226.233277,52.28853900189279
75,39226.281202,47.925683997164015
76,39226.332794,51.59142100455938
77,39226.381232,48.438373996759765
78,39226.432821,51.58922600094229
79,39226.480826,48.004882999521215
80,39226.533301,52.47443100233795
81,39226.580758,47.45751799782738
82,39226.632810,52.051730002858676
83,39226.681183,48.372639997978695
84,39226.732809,51.62601600022754
85,39226.781107,48.29803900065599
86,39226.833492,52.38542200095253
87,39226.881236,47.744470997713506
88,39226.928692,47.455444997467566
89,39226.980733,52.040890004718676
90,39227.029269,48.535798996454105
91,39227.081215,51.9468019992928
92,39227.129281,48.06600000301842
93,39227.180766,51.484818002791144
94,39227.228903,48.13648299750639
95,39227.281232,52.32960599823855
96,39227.328924,47.691271000076085
97,39227.381239,52.315749002445955
98,39227.429122,47.8822119985125
99,39227.481296,52.174623000610154
100,39227.529027,47.731006001413334
101,39227.580842,51.81459199957317
102,39227.629073,48.230943000817206
103,39227.681239,52.16585599555401
104,39227.729330,48.09124800522113
105,39227.780763,51.432959997328
106,39227.829045,48.28215899760835
107,39227.881221,52.176227000018116
108,39227.928952,47.73058499995386
109,39227.980818,51.86600900196936
110,39228.029520,48.70217300049262
111,39228.080860,51.34026500309119
112,39228.129343,48.48264799511526
113,39228.181278,51.935190000222065
114,39228.229362,48.084114998346195
115,39228.276971,47.60932600038359
116,39228.328875,51.90360100095859
117,39228.377235,48.360407003201544
118,39228.429235,51.99955200077966
119,39228.477284,48.04922900075326
120,39228.529263,51.9789529935224
121,39228.577292,48.02920000656741
122,39228.629257,51.96502699982375
123,39228.677298,48.04024099576054
124,39228.729257,51.95944700244581
125,39228.777389,48.131422998267226
126,39228.828898,51.50964500353439
127,39228.877295,48.39653599628946
128,39228.929040,51.744950003921986
129,39228.977268,48.22814699582523
130,39229.029247,51.979444004246034
131,39229.076813,47.565331995429005
132,39229.129263,52.450795999902766
133,39229.177239,47.97524699824862
134,39229.228845,51.6065090050688
135,39229.277279,48.43390599853592
136,39229.329268,51.98934300278779
137,39229.376813,47.54497399699176
138,39229.428770,51.95671100227628
139,39229.477280,48.510130000067875
140,39229.528902,51.62182699859841
141,39229.577272,48.369944997830316
142,39229.625296,48.023538998677395
143,39229.677278,51.98295000445796
144,39229.725049,47.77022000052966
145,39229.777281,52.23192099947482
146,39229.825341,48.06032899796264
147,39229.877247,51.90571500133956
148,39229.925334,48.08776099525858
149,39229.976687,51.35234699991997
150,39230.024865,48.177862001466565
151,39230.077259,52.39436800184194
152,39230.125323,48.063875998195726
153,39230.177286,51.96345400327118
154,39230.224918,47.63181899761548
155,39230.277288,52.36960299953353
156,39230.325290,48.0022990013822
157,39230.377270,51.97998500079848
158,39230.425330,48.06035799992969
159,39230.476916,51.585970002633985
160,39230.524870,47.953366993169766
161,39230.577155,52.28489200089825
162,39230.625325,48.17072700097924
163,39230.677281,51.95580000145128
164,39230.725329,48.04760599654401
