indice,t_s
0,0.000000
1,0.031250
2,0.062500
3,0.093750
4,0.156250
5,0.187500
6,0.226562
7,0.257812
8,0.289062
9,0.320312
10,0.367188
11,0.398438
12,0.429688
13,0.460938
14,0.492188
15,0.523438
16,0.562500
17,0.593750
18,0.625000
19,0.656250
20,0.687500
21,0.718750
22,0.750000
23,0.796875
24,0.828125
25,0.867188
26,0.898438
27,0.929688
28,0.960938
29,0.992188
30,1.023438
31,1.054688
32,1.085938
33,1.117188
34,1.148438
35,1.195312
36,1.234375
37,1.265625
38,1.296875
39,1.328125
40,1.359375
41,1.390625
42,1.421875
43,1.453125
44,1.484375
45,1.515625
46,1.554688
47,1.601562
48,1.632812
49,1.664062
50,1.695312
51,1.726562
52,1.757812
53,1.789062
54,1.820312
55,1.851562
56,1.890625
57,1.921875
58,1.953125
59,2.000000
60,2.031250
61,2.062500
62,2.093750
63,2.125000
64,2.156250
65,2.187500
66,2.226562
67,2.257812
68,2.289062
69,2.320312
70,2.351562
71,2.398438
72,2.429688
73,2.460938
74,2.492188
75,2.523438
76,2.562500
77,2.593750
78,2.625000
79,2.656250
80,2.687500
81,2.718750
82,2.750000
83,2.796875
84,2.828125
85,2.859375
86,2.898438
87,2.929688
88,2.960938
89,2.992188
90,3.023438
