frame,t_s,t_b_s,a_p1_ok,a_p1_x_px,a_p1_y_px,a_p1_x_mm,a_p1_y_mm,a_p1_area,a_p2_ok,a_p2_x_px,a_p2_y_px,a_p2_x_mm,a_p2_y_mm,a_p2_area,b_p1_ok,b_p1_h_px,b_p1_z_px,b_p1_h_mm,b_p1_z_mm,b_p1_area,b_p2_ok,b_p2_h_px,b_p2_z_px,b_p2_h_mm,b_p2_z_mm,b_p2_area
81,2.054932,2.054932,1,866.870605,218.876907,93.499817,23.607849,97,1,831.051880,494.949066,89.636444,53.384724,57,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
85,2.088257,2.088257,1,901.729004,226.137390,97.259613,24.390959,89,1,832.876831,494.882233,89.833282,53.377514,63,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
88,2.121582,2.121582,1,936.715454,236.809204,101.033211,25.542009,88,1,833.516357,491.651276,89.902260,53.029026,62,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
90,2.155029,2.155029,1,970.413574,252.058243,104.667862,27.186756,79,1,833.279663,490.145264,89.876732,52.866589,53,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
93,2.188354,2.188354,1,1000.286621,270.620331,107.889938,29.188847,91,1,833.457886,491.702423,89.895958,53.034546,30,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
97,2.221680,2.221680,1,1028.196777,293.198425,110.900299,31.624094,91,1,833.970032,490.324860,89.951195,52.885960,61,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
100,2.255005,2.255005,1,1054.204468,318.828827,113.705460,34.388565,96,1,835.494141,490.587708,90.115585,52.914310,58,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
103,2.288330,2.288330,1,1075.513794,345.678253,116.003868,37.284519,92,1,835.720886,493.275879,90.140045,53.204254,46,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
106,2.321655,2.321655,1,1094.848267,374.216644,118.089272,40.362644,96,1,835.647644,493.857208,90.132133,53.266956,70,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
108,2.354980,2.354980,1,1110.250977,403.486298,119.750580,43.519638,95,1,837.799622,493.547394,90.364250,53.233540,62,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
112,2.388306,2.388306,1,1122.663452,433.318970,121.089386,46.737362,89,1,839.511780,493.967651,90.548920,53.278870,58,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
114,2.421631,2.421631,1,1131.482056,464.007874,122.040550,50.047436,89,1,839.993347,493.770996,90.600861,53.257656,64,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
117,2.455078,2.455078,1,1137.591064,494.592926,122.699463,53.346310,94,1,840.235474,493.496857,90.626984,53.228088,73,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
121,2.488403,2.488403,1,1140.299438,525.285889,122.991577,56.656822,81,1,841.845947,492.620758,90.800682,53.133595,62,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
125,2.521729,2.521729,1,1138.767944,555.631348,122.826401,59.929859,69,1,840.187256,495.406464,90.621773,53.434055,70,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
127,2.555054,2.555054,1,1134.364380,586.725769,122.351425,63.283665,61,1,840.657227,497.711456,90.672470,53.682674,69,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
130,2.588379,2.588379,1,1128.790039,615.526367,121.750198,66.390068,74,1,840.706238,500.239838,90.677750,53.955379,63,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
132,2.621704,2.621704,1,1119.983154,643.088928,120.800285,69.362946,88,1,840.161438,500.602539,90.618996,53.994503,62,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
135,2.655029,2.655029,1,1109.476318,669.866577,119.667038,72.251160,96,1,838.995544,502.857147,90.493240,54.237682,57,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
139,2.688354,2.688354,1,1095.998535,695.578613,118.213333,75.024429,93,1,838.254517,503.652435,90.413315,54.323460,61,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
141,2.721680,2.721680,1,1080.696167,720.921326,116.562828,77.757874,98,1,837.512573,506.765594,90.333282,54.659245,61,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
145,2.755005,2.755005,1,1063.931152,743.599792,114.754578,80.203949,92,1,839.381226,512.721130,90.534836,55.301601,56,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
148,2.788452,2.788452,1,1043.724731,764.672791,112.575134,82.476860,97,1,837.673279,518.182251,90.350624,55.890629,65,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
150,2.821777,2.821777,1,1023.187195,783.400879,110.359970,84.496849,96,1,838.360962,515.501160,90.424797,55.601448,62,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
154,2.855103,2.855103,1,1000.952637,799.500916,107.961769,86.233391,92,1,840.598450,516.696655,90.666130,55.730396,63,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
158,2.888428,2.888428,1,977.752319,814.163757,105.459412,87.814903,93,1,837.552368,517.496216,90.337585,55.816635,62,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
160,2.921753,2.921753,1,953.510864,827.086548,102.844749,89.208748,85,1,835.699524,516.958313,90.137733,55.758617,63,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
162,2.955078,2.955078,1,927.233643,838.631104,100.010513,90.453926,81,1,836.617310,520.684998,90.236725,56.160576,69,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
166,2.988403,2.988403,1,900.509583,847.070618,97.128082,91.364204,82,1,836.445435,521.218018,90.218185,56.218063,66,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
168,3.021729,3.021729,1,872.586975,853.959534,94.116379,92.107239,89,1,837.596802,521.128113,90.342377,56.208366,64,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
173,3.055054,3.055054,1,846.091309,858.877502,91.258583,92.637688,93,1,836.706299,519.404541,90.246323,56.022465,70,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
175,3.088501,3.088501,1,818.433167,860.970886,88.275398,92.863480,95,1,835.617493,514.340149,90.128883,55.476227,67,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
179,3.121826,3.121826,1,790.432373,861.790588,85.255264,92.951889,94,1,833.031677,512.664429,89.849983,55.295486,67,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
181,3.155151,3.155151,1,762.657532,860.348206,82.259491,92.796318,100,1,829.179321,511.477997,89.434479,55.167519,72,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
184,3.188477,3.188477,1,735.961853,856.823792,79.380127,92.416176,97,1,823.237061,510.012939,88.793549,55.009499,75,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
186,3.221802,3.221802,1,709.306885,851.623901,76.505142,91.855324,98,1,820.112915,516.921326,88.456581,55.754627,61,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
190,3.255127,3.255127,1,682.972534,844.339844,73.664749,91.069672,91,1,819.862488,519.157532,88.429573,55.995823,71,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
