frame,t_s,xc_px,yc_px,xc_mm,yc_mm,seguido,area_px
109,3.45428,679.630,320.148,129.8572,61.1708,1,279
110,3.50125,679.806,320.313,129.8908,61.2024,1,281
111,3.54766,679.925,320.485,129.9137,61.2352,1,278
112,3.57988,679.933,320.578,129.9151,61.2531,1,278
113,3.61182,679.940,320.669,129.9165,61.2704,1,279
114,3.64380,679.928,320.771,129.9141,61.2899,1,277
115,3.67669,679.914,320.912,129.9115,61.3168,1,281
116,3.70882,679.907,321.124,129.9101,61.3573,1,283
117,3.73954,679.832,321.266,129.8959,61.3845,1,279
118,3.77204,679.744,321.409,129.8790,61.4117,1,280
119,3.80419,679.604,321.667,129.8523,61.4610,1,279
120,3.83551,679.432,321.863,129.8194,61.4985,1,281
121,3.86871,679.259,321.993,129.7864,61.5233,1,279
122,3.90001,679.048,322.168,129.7460,61.5569,1,282
123,3.92993,678.851,322.355,129.7083,61.5926,1,277
124,3.96183,678.610,322.607,129.6623,61.6407,1,280
125,3.99363,678.299,322.805,129.6029,61.6785,1,280
126,4.02447,677.998,322.994,129.5454,61.7145,1,281
127,4.05591,677.683,323.247,129.4853,61.7629,1,281
128,4.08755,677.311,323.474,129.4142,61.8063,1,283
129,4.11846,676.936,323.740,129.3425,61.8572,1,279
130,4.14987,676.594,323.979,129.2771,61.9028,1,280
131,4.18139,676.210,324.275,129.2038,61.9594,1,279
132,4.21241,675.778,324.660,129.1212,62.0329,1,280
133,4.24287,675.366,324.933,129.0425,62.0850,1,280
134,4.27343,674.914,325.131,128.9561,62.1229,1,281
135,4.30484,674.375,325.430,128.8532,62.1801,1,280
136,4.33674,673.814,325.765,128.7460,62.2440,1,278
137,4.36838,673.289,326.099,128.6457,62.3078,1,278
138,4.39962,672.761,326.471,128.5448,62.3791,1,278
139,4.43148,672.149,326.835,128.4278,62.4486,1,280
140,4.46295,671.542,327.145,128.3118,62.5078,1,281
141,4.49376,670.994,327.500,128.2071,62.5755,1,280
142,4.52333,670.460,327.857,128.1051,62.6438,1,280
143,4.55301,669.807,328.175,127.9803,62.7046,1,280
144,4.58403,669.124,328.545,127.8498,62.7753,1,282
145,4.61416,668.479,328.945,127.7267,62.8516,1,279
146,4.64434,667.760,329.330,127.5892,62.9253,1,282
147,4.67563,667.002,329.728,127.4444,63.0013,1,283
148,4.70768,666.274,330.137,127.3053,63.0793,1,279
