indice,t_s
456,16.101562
457,16.132812
458,16.164062
459,16.210938
460,16.242188
461,16.273438
462,16.304688
463,16.335938
464,16.367188
465,16.398438
466,16.437500
467,16.468750
468,16.500000
469,16.531250
470,16.562500
471,16.609375
472,16.640625
473,16.671875
474,16.703125
475,16.734375
476,16.773438
477,16.804688
478,16.835938
479,16.867188
480,16.898438
481,16.929688
482,16.960938
483,16.992188
484,17.039062
485,17.070312
486,17.109375
487,17.140625
488,17.171875
489,17.203125
490,17.234375
491,17.265625
492,17.296875
493,17.328125
494,17.359375
495,17.390625
496,17.445312
497,17.476562
498,17.507812
499,17.539062
500,17.570312
501,17.601562
502,17.632812
503,17.664062
504,17.695312
505,17.726562
506,17.765625
507,17.796875
508,17.843750
509,17.875000
510,17.906250
511,17.937500
512,17.968750
513,18.000000
514,18.031250
515,18.062500
516,18.101562
517,18.132812
518,18.164062
519,18.195312
520,18.242188
521,18.273438
522,18.304688
523,18.335938
524,18.367188
525,18.398438
526,18.437500
527,18.468750
528,18.500000
529,18.531250
530,18.562500
531,18.593750
532,18.640625
533,18.671875
534,18.703125
535,18.734375
536,18.773438
537,18.804688
538,18.835938
539,18.867188
540,18.898438
541,18.929688
542,18.960938
543,18.992188
544,19.039062
545,19.070312
546,19.109375
547,19.140625
548,19.171875
549,19.203125
550,19.234375
551,19.265625
552,19.296875
553,19.328125
554,19.359375
555,19.390625
556,19.429688
557,19.476562
558,19.507812
559,19.539062
560,19.570312
561,19.601562
562,19.632812
563,19.664062
564,19.695312
565,19.726562
566,19.765625
567,19.796875
568,19.828125
569,19.875000
570,19.906250
571,19.937500
572,19.968750
573,20.000000
