frame,t_s,xc_px,yc_px,xc_mm,yc_mm,seguido,area_px
105,3.70242,1010.625,523.382,193.5046,100.2120,1,476
106,3.73702,1010.533,523.014,193.4869,100.1417,1,452
107,3.77163,1010.675,522.700,193.5141,100.0814,1,431
108,3.80623,1010.606,522.454,193.5008,100.0344,1,439
109,3.84083,1010.636,522.313,193.5066,100.0073,1,467
110,3.87543,1010.898,522.195,193.5568,99.9847,1,488
111,3.91003,1010.826,522.169,193.5429,99.9797,1,447
112,3.94464,1011.216,522.114,193.6177,99.9693,1,479
113,3.97924,1011.374,522.074,193.6480,99.9616,1,462
114,4.01384,1011.583,522.048,193.6879,99.9567,1,444
115,4.04844,1011.803,521.898,193.7302,99.9280,1,460
116,4.08304,1011.799,521.684,193.7294,99.8869,1,452
117,4.11765,1011.734,521.328,193.7169,99.8188,1,441
118,4.15225,1011.733,520.752,193.7167,99.7085,1,462
119,4.18685,1011.583,520.356,193.6880,99.6326,1,459
120,4.22145,1011.587,519.838,193.6887,99.5334,1,444
121,4.25606,1011.581,519.608,193.6876,99.4894,1,464
122,4.29066,1011.683,519.263,193.7072,99.4233,1,456
123,4.32526,1011.575,519.092,193.6865,99.3907,1,442
124,4.35986,1011.814,519.210,193.7321,99.4133,1,444
125,4.39446,1011.800,518.988,193.7295,99.3708,1,454
126,4.42907,1012.011,519.387,193.7700,99.4471,1,454
127,4.46367,1012.113,519.106,193.7894,99.3934,1,459
128,4.49827,1012.406,519.176,193.8456,99.4067,1,476
129,4.53287,1012.272,518.855,193.8198,99.3452,1,452
130,4.56747,1012.529,518.360,193.8692,99.2505,1,452
131,4.60208,1012.327,518.059,193.8304,99.1929,1,455
132,4.63668,1012.227,517.473,193.8112,99.0806,1,457
133,4.67128,1012.172,516.779,193.8007,98.9478,1,480
134,4.70588,1011.695,516.455,193.7094,98.8858,1,479
135,4.74048,1011.871,515.731,193.7431,98.7472,1,472
136,4.77509,1011.504,515.555,193.6728,98.7134,1,474
137,4.80969,1011.673,515.323,193.7051,98.6690,1,456
138,4.84429,1011.743,515.150,193.7186,98.6358,1,478
139,4.87889,1011.812,515.063,193.7318,98.6191,1,464
140,4.91349,1011.931,514.855,193.7547,98.5793,1,444
141,4.94810,1012.090,514.724,193.7850,98.5543,1,444
142,4.98270,1012.129,514.448,193.7925,98.5015,1,447
143,5.01730,1012.429,513.987,193.8499,98.4133,1,466
144,5.05190,1012.454,513.638,193.8547,98.3463,1,439
145,5.08651,1012.656,512.685,193.8935,98.1639,1,475
146,5.12111,1012.493,512.274,193.8622,98.0851,1,471
147,5.15571,1012.605,511.180,193.8837,97.8757,1,450
148,5.19031,1012.500,510.721,193.8636,97.7878,1,471
149,5.22491,1012.639,509.965,193.8902,97.6431,1,456
150,5.25952,1012.643,509.536,193.8909,97.5609,1,460
151,5.29412,1012.982,509.138,193.9558,97.4847,1,470
152,5.32872,1013.223,508.690,194.0020,97.3989,1,480
153,5.36332,1013.682,508.246,194.0898,97.3139,1,463
154,5.39792,1014.327,507.657,194.2134,97.2011,1,456
155,5.43253,1014.850,507.014,194.3135,97.0780,1,458
156,5.46713,1016.086,506.389,194.5502,96.9583,1,446
157,5.50173,1016.770,505.391,194.6811,96.7672,1,438
158,5.53633,1018.346,504.681,194.9829,96.6313,1,444
159,5.57093,1019.461,503.517,195.1964,96.4085,1,448
160,5.60554,1021.016,502.754,195.4941,96.2623,1,442
161,5.64014,1022.465,501.963,195.7716,96.1110,1,438
162,5.67474,1024.267,501.701,196.1166,96.0608,1,432
163,5.70934,1025.822,501.509,196.4143,96.0240,1,412
164,5.74394,1027.774,501.597,196.7880,96.0409,1,454
165,5.77855,1029.790,501.737,197.1741,96.0676,1,458
166,5.81315,1031.745,502.098,197.5483,96.1368,1,443
167,5.84775,1034.300,502.391,198.0377,96.1929,1,456
168,5.88235,1036.724,503.348,198.5018,96.3762,1,419
169,5.91696,1039.612,504.044,199.0547,96.5093,1,448
170,5.95156,1042.563,505.755,199.6197,96.8369,1,428
171,5.98616,1045.472,507.074,200.1766,97.0896,1,415
172,6.02076,1048.080,509.095,200.6761,97.4765,1,436
173,6.05536,1050.844,511.254,201.2053,97.8900,1,424
174,6.08997,1052.796,513.355,201.5790,98.2921,1,440
175,6.12457,1054.957,516.397,201.9928,98.8745,1,432
176,6.15917,1056.299,519.233,202.2497,99.4176,1,419
177,6.19377,1057.466,523.096,202.4732,100.1573,1,427
178,6.22837,1057.734,526.996,202.5244,100.9039,1,426
179,6.26298,1057.766,531.158,202.5307,101.7009,1,424
180,6.29758,1056.910,535.388,202.3668,102.5109,1,420
181,6.33218,1056.004,539.178,202.1932,103.2364,1,440
182,6.36678,1054.171,543.073,201.8423,103.9822,1,464
183,6.40138,1052.475,546.358,201.5175,104.6112,1,446
184,6.43599,1049.959,549.670,201.0359,105.2454,1,432
185,6.47059,1047.329,551.915,200.5322,105.6752,1,463
186,6.50519,1044.370,553.667,199.9656,106.0106,1,435
187,6.53979,1041.426,554.552,199.4021,106.1801,1,440
188,6.57439,1038.520,554.885,198.8456,106.2440,1,444
189,6.60900,1036.165,554.818,198.3946,106.2310,1,436
190,6.64360,1034.034,554.644,197.9866,106.1978,1,434
191,6.67820,1032.620,554.431,197.7158,106.1570,1,438
192,6.71280,1031.378,554.366,197.4781,106.1446,1,429
193,6.74740,1030.651,554.802,197.3389,106.2281,1,433
194,6.78201,1030.271,555.680,197.2661,106.3961,1,467
195,6.81661,1029.746,557.258,197.1657,106.6982,1,430
196,6.85121,1029.199,559.198,197.0610,107.0696,1,451
197,6.88581,1028.254,561.439,196.8799,107.4989,1,458
198,6.92042,1026.809,563.619,196.6033,107.9162,1,460
199,6.95502,1024.714,565.318,196.2022,108.2415,1,467
200,6.98962,1022.355,566.747,195.7504,108.5151,1,455
201,7.02422,1019.484,567.516,195.2008,108.6623,1,432
202,7.05882,1016.272,567.534,194.5858,108.6657,1,465
203,7.09343,1013.004,567.259,193.9600,108.6132,1,425
204,7.12803,1009.378,565.859,193.2657,108.3451,1,446
205,7.16263,1006.180,564.313,192.6535,108.0490,1,451
206,7.19723,1003.057,562.076,192.0554,107.6208,1,415
207,7.23183,1000.912,559.613,191.6449,107.1491,1,459
208,7.26644,999.100,557.136,191.2979,106.6750,1,433
209,7.30104,998.324,554.704,191.1493,106.2092,1,448
210,7.33564,997.797,552.314,191.0483,105.7516,1,444
211,7.37024,998.451,550.486,191.1735,105.4017,1,460
212,7.40484,999.211,548.925,191.3191,105.1027,1,456
213,7.43945,1000.438,547.910,191.5539,104.9085,1,444
214,7.47405,1001.931,547.209,191.8399,104.7742,1,451
215,7.50865,1002.958,547.304,192.0365,104.7923,1,440
216,7.54325,1004.280,547.390,192.2896,104.8088,1,463
217,7.57785,1005.013,548.207,192.4301,104.9652,1,452
218,7.61246,1005.787,549.392,192.5783,105.1922,1,428
219,7.64706,1005.470,550.620,192.5175,105.4274,1,445
220,7.68166,1005.016,552.305,192.4306,105.7499,1,449
221,7.71626,1003.410,554.033,192.1231,106.0807,1,435
222,7.75087,1001.814,555.774,191.8176,106.4142,1,428
223,7.78547,999.407,556.925,191.3566,106.6345,1,447
224,7.82007,996.621,557.851,190.8233,106.8118,1,454
225,7.85467,993.703,557.500,190.2645,106.7447,1,428
226,7.88927,990.483,556.157,189.6479,106.4875,1,451
227,7.92388,987.638,553.808,189.1032,106.0377,1,456
228,7.95848,985.553,549.994,188.7041,105.3074,1,444
229,7.99308,983.871,545.377,188.3819,104.4234,1,468
230,8.02768,983.581,539.808,188.3265,103.3571,1,436
231,8.06228,984.204,533.987,188.4457,102.2425,1,437
232,8.09689,986.428,528.018,188.8715,101.0997,1,456
233,8.13149,989.760,522.619,189.5096,100.0659,1,448
234,8.14879,991.558,519.837,189.8537,99.5334,1,434
235,8.20069,999.727,514.847,191.4178,98.5779,1,442
236,8.26990,1011.159,512.451,193.6068,98.1191,1,454
237,8.30450,1016.328,513.414,194.5964,98.3035,1,460
238,8.33910,1021.001,515.227,195.4912,98.6507,1,466
239,8.37370,1024.678,517.774,196.1953,99.1384,1,468
240,8.40830,1027.529,520.219,196.7412,99.6064,1,452
241,8.44291,1029.558,522.363,197.1296,100.0169,1,448
242,8.47751,1031.380,524.014,197.4784,100.3330,1,445
243,8.51211,1032.659,524.985,197.7234,100.5189,1,435
244,8.54671,1034.411,525.801,198.0588,100.6752,1,439
245,8.58131,1036.291,526.231,198.4188,100.7575,1,455
246,8.61592,1037.915,527.150,198.7297,100.9335,1,446
247,8.65052,1040.216,528.649,199.1704,101.2205,1,428
248,8.68512,1041.737,530.827,199.4616,101.6375,1,412
249,8.71972,1042.667,533.643,199.6396,102.1767,1,424
250,8.75433,1043.141,536.430,199.7304,102.7103,1,444
251,8.78893,1041.939,538.789,199.5002,103.1620,1,440
252,8.82353,1040.831,540.439,199.2881,103.4779,1,434
253,8.85813,1039.139,540.993,198.9640,103.5841,1,450
254,8.89273,1037.762,540.570,198.7005,103.5030,1,445
255,8.92734,1037.480,539.479,198.6465,103.2941,1,444
256,8.96194,1037.352,537.622,198.6219,102.9387,1,432
257,8.99654,1039.182,536.064,198.9723,102.6403,1,439
258,9.03114,1041.022,534.568,199.3247,102.3539,1,448
259,9.06574,1044.311,533.899,199.9544,102.2258,1,429
260,9.10035,1047.768,534.861,200.6163,102.4099,1,424
261,9.13495,1050.358,536.836,201.1122,102.7881,1,448
262,9.16955,1052.921,540.676,201.6030,103.5234,1,432
263,9.20415,1052.956,544.969,201.6097,104.3453,1,424
264,9.23875,1052.357,549.639,201.4949,105.2396,1,423
265,9.27336,1049.609,553.623,200.9688,106.0023,1,429
266,9.30796,1046.422,556.915,200.3586,106.6327,1,414
267,9.34256,1042.620,558.565,199.6306,106.9485,1,448
268,9.37716,1038.820,559.200,198.9030,107.0701,1,423
269,9.41176,1036.436,558.787,198.4467,106.9911,1,424
270,9.44637,1034.093,557.832,197.9979,106.8082,1,423
271,9.48097,1032.883,557.050,197.7663,106.6585,1,428
272,9.51557,1032.299,557.041,197.6545,106.6566,1,433
273,9.55017,1031.089,557.028,197.4228,106.6542,1,410
274,9.58478,1029.898,558.083,197.1947,106.8563,1,440
275,9.61938,1027.853,558.612,196.8032,106.9576,1,416
276,9.65398,1024.911,558.648,196.2399,106.9644,1,435
277,9.68858,1022.463,558.109,195.7711,106.8613,1,440
278,9.72318,1019.723,556.439,195.2465,106.5415,1,433
279,9.75779,1018.403,554.583,194.9937,106.1861,1,442
280,9.79239,1017.224,552.133,194.7680,105.7170,1,424
281,9.82699,1016.853,550.085,194.6970,105.3248,1,431
282,9.86159,1016.776,547.992,194.6823,104.9241,1,421
283,9.89619,1016.682,546.269,194.6643,104.5942,1,420
284,9.93080,1016.574,544.630,194.6437,104.2804,1,418
285,9.96540,1016.029,542.612,194.5393,103.8939,1,376
286,10.00000,1015.488,540.431,194.4357,103.4765,1,410
287,10.03460,1015.443,537.880,194.4271,102.9880,1,420
288,10.06920,1015.202,535.389,194.3809,102.5110,1,404
289,10.10381,1015.831,533.473,194.5013,102.1442,1,403
290,10.13841,1016.040,531.370,194.5413,101.7415,1,405
291,10.17301,1016.557,529.734,194.6403,101.4283,1,420
292,10.20761,1017.354,527.642,194.7929,101.0278,1,389
293,10.24221,1018.349,526.082,194.9835,100.7291,1,397
294,10.27682,1019.189,524.246,195.1443,100.3775,1,397
295,10.31142,1020.405,522.926,195.3771,100.1247,1,387
296,10.34602,1021.421,521.245,195.5716,99.8028,1,422
297,10.38062,1022.643,520.306,195.8057,99.6230,1,424
298,10.41522,1023.602,518.272,195.9892,99.2335,1,396
299,10.44983,1025.184,517.448,196.2922,99.0759,1,386
300,10.48443,1026.113,515.944,196.4701,98.7879,1,422
301,10.51903,1027.703,515.127,196.7745,98.6314,1,407
302,10.55363,1029.383,514.224,197.0962,98.4585,1,380
303,10.58824,1031.358,514.227,197.4743,98.4592,1,426
304,10.62284,1033.115,513.995,197.8107,98.4148,1,408
305,10.65744,1035.162,514.138,198.2026,98.4421,1,432
306,10.69204,1037.150,514.787,198.5833,98.5663,1,396
307,10.72664,1038.275,515.553,198.7987,98.7130,1,404
308,10.76125,1039.633,516.814,199.0587,98.9544,1,398
309,10.79585,1040.700,518.136,199.2631,99.2077,1,404
310,10.83045,1041.034,519.789,199.3270,99.5241,1,402
311,10.86505,1041.917,520.981,199.4960,99.7524,1,416
312,10.89965,1042.382,522.767,199.5851,100.0942,1,402
313,10.93426,1042.742,523.915,199.6540,100.3141,1,412
314,10.96886,1042.989,525.984,199.7013,100.7103,1,403
315,11.00346,1043.570,526.956,199.8126,100.8964,1,419
316,11.03806,1043.984,528.932,199.8917,101.2746,1,403
317,11.07266,1044.195,530.317,199.9323,101.5399,1,376
318,11.10727,1044.859,531.742,200.0594,101.8128,1,396
319,11.14187,1044.939,533.398,200.0747,102.1298,1,388
320,11.17647,1044.417,534.816,199.9748,102.4012,1,380
321,11.21107,1044.305,535.748,199.9533,102.5798,1,392
322,11.24567,1043.352,537.000,199.7707,102.8194,1,411
323,11.28028,1042.239,537.598,199.5577,102.9340,1,407
324,11.31488,1041.277,538.096,199.3735,103.0294,1,395
325,11.34948,1040.320,538.605,199.1902,103.1269,1,412
326,11.38408,1039.442,538.799,199.0221,103.1640,1,408
327,11.41869,1039.006,538.673,198.9387,103.1398,1,393
328,11.45329,1039.141,538.282,198.9645,103.0649,1,388
329,11.48789,1038.691,537.685,198.8783,102.9506,1,404
330,11.52249,1038.779,536.098,198.8953,102.6469,1,381
331,11.55709,1038.251,535.420,198.7942,102.5170,1,400
332,11.59170,1037.362,534.005,198.6239,102.2460,1,389
333,11.62630,1036.197,533.285,198.4009,102.1081,1,412
