frame,t_s,x_px,y_px,x_mm,y_mm,u_mm_s,v_mm_s,valido
0,0.03322,927.5,111.5,177.589,21.349,nan,nan,0
0,0.03322,943.5,111.5,180.652,21.349,9.8145,-1.3795,1
0,0.03322,959.5,111.5,183.716,21.349,8.7434,0.5991,1
0,0.03322,975.5,111.5,186.779,21.349,nan,nan,0
0,0.03322,991.5,111.5,189.843,21.349,7.4479,-0.1214,1
0,0.03322,1007.5,111.5,192.906,21.349,15.7255,0.4998,1
0,0.03322,1023.5,111.5,195.970,21.349,12.3364,1.7402,1
0,0.03322,1039.5,111.5,199.033,21.349,12.7366,0.8719,1
0,0.03322,1055.5,111.5,202.097,21.349,16.0022,0.6846,1
0,0.03322,1071.5,111.5,205.160,21.349,14.3644,0.0875,1
0,0.03322,863.5,127.5,165.334,24.412,9.7468,-2.0062,1
0,0.03322,879.5,127.5,168.398,24.412,nan,nan,0
0,0.03322,895.5,127.5,171.462,24.412,10.0928,-2.9783,1
0,0.03322,911.5,127.5,174.525,24.412,11.3047,-2.5333,1
0,0.03322,927.5,127.5,177.589,24.412,10.0315,-2.8164,1
0,0.03322,943.5,127.5,180.652,24.412,10.0382,-1.7087,1
0,0.03322,959.5,127.5,183.716,24.412,nan,nan,0
0,0.03322,975.5,127.5,186.779,24.412,nan,nan,0
0,0.03322,991.5,127.5,189.843,24.412,9.2715,1.0438,1
0,0.03322,1007.5,127.5,192.906,24.412,10.3684,-0.2649,1
0,0.03322,1023.5,127.5,195.970,24.412,11.6784,1.1284,1
0,0.03322,1039.5,127.5,199.033,24.412,13.3795,-0.6577,1
0,0.03322,1055.5,127.5,202.097,24.412,nan,nan,0
0,0.03322,1071.5,127.5,205.160,24.412,14.8796,-1.0864,1
0,0.03322,1087.5,127.5,208.224,24.412,15.9518,-2.0578,1
0,0.03322,1103.5,127.5,211.287,24.412,13.4366,1.0270,1
0,0.03322,1119.5,127.5,214.351,24.412,12.0920,4.7621,1
0,0.03322,1135.5,127.5,217.414,24.412,10.9560,3.8903,1
0,0.03322,815.5,143.5,156.144,27.476,10.6035,-5.3969,1
0,0.03322,831.5,143.5,159.207,27.476,10.4288,-5.6427,1
0,0.03322,847.5,143.5,162.271,27.476,9.9568,0.0160,1
0,0.03322,863.5,143.5,165.334,27.476,nan,nan,0
0,0.03322,879.5,143.5,168.398,27.476,11.1031,-3.1964,1
0,0.03322,895.5,143.5,171.462,27.476,9.9946,-3.4584,1
0,0.03322,911.5,143.5,174.525,27.476,nan,nan,0
0,0.03322,927.5,143.5,177.589,27.476,nan,nan,0
0,0.03322,943.5,143.5,180.652,27.476,10.2500,-2.0293,1
0,0.03322,959.5,143.5,183.716,27.476,9.5098,-2.5310,1
0,0.03322,975.5,143.5,186.779,27.476,8.7431,-0.3609,1
0,0.03322,991.5,143.5,189.843,27.476,9.7321,-0.9220,1
0,0.03322,1007.5,143.5,192.906,27.476,10.6307,2.4585,1
0,0.03322,1023.5,143.5,195.970,27.476,11.2630,2.5752,1
0,0.03322,1039.5,143.5,199.033,27.476,13.1644,2.2443,1
0,0.03322,1055.5,143.5,202.097,27.476,11.4036,1.6396,1
0,0.03322,1071.5,143.5,205.160,27.476,16.5283,0.9513,1
0,0.03322,1087.5,143.5,208.224,27.476,17.4222,0.5648,1
0,0.03322,1103.5,143.5,211.287,27.476,12.9481,1.8700,1
0,0.03322,1119.5,143.5,214.351,27.476,13.7453,1.8511,1
0,0.03322,1135.5,143.5,217.414,27.476,nan,nan,0
0,0.03322,1151.5,143.5,220.478,27.476,10.7374,2.4143,1
0,0.03322,1167.5,143.5,223.541,27.476,9.9734,3.2811,1
0,0.03322,1183.5,143.5,226.605,27.476,10.5526,4.1860,1
0,0.03322,783.5,159.5,150.017,30.539,10.5432,-6.9208,1
0,0.03322,799.5,159.5,153.080,30.539,10.2555,-7.7170,1
0,0.03322,815.5,159.5,156.144,30.539,nan,nan,0
0,0.03322,831.5,159.5,159.207,30.539,11.0197,-7.4145,1
0,0.03322,847.5,159.5,162.271,30.539,nan,nan,0
0,0.03322,863.5,159.5,165.334,30.539,10.2847,-3.7621,1
0,0.03322,879.5,159.5,168.398,30.539,10.3640,-3.6658,1
0,0.03322,895.5,159.5,171.462,30.539,9.9439,-3.6641,1
0,0.03322,911.5,159.5,174.525,30.539,nan,nan,0
0,0.03322,927.5,159.5,177.589,30.539,10.2432,-3.8674,1
0,0.03322,943.5,159.5,180.652,30.539,10.2743,-0.7320,1
0,0.03322,959.5,159.5,183.716,30.539,10.0045,-1.1602,1
0,0.03322,975.5,159.5,186.779,30.539,nan,nan,0
0,0.03322,991.5,159.5,189.843,30.539,10.1158,2.8328,1
0,0.03322,1007.5,159.5,192.906,30.539,nan,nan,0
0,0.03322,1023.5,159.5,195.970,30.539,10.8570,7.9658,1
0,0.03322,1039.5,159.5,199.033,30.539,10.7573,12.3529,1
0,0.03322,1055.5,159.5,202.097,30.539,nan,nan,0
0,0.03322,1071.5,159.5,205.160,30.539,17.8777,1.5911,1
0,0.03322,1087.5,159.5,208.224,30.539,19.5813,-0.7407,1
0,0.03322,1103.5,159.5,211.287,30.539,nan,nan,0
0,0.03322,1119.5,159.5,214.351,30.539,24.9559,1.4237,1
0,0.03322,1135.5,159.5,217.414,30.539,16.5103,2.3323,1
0,0.03322,1151.5,159.5,220.478,30.539,11.7941,3.1538,1
0,0.03322,1167.5,159.5,223.541,30.539,10.9607,3.8443,1
0,0.03322,1183.5,159.5,226.605,30.539,10.3932,5.0725,1
0,0.03322,1199.5,159.5,229.668,30.539,9.8728,7.5683,1
0,0.03322,1215.5,159.5,232.732,30.539,6.5852,5.2386,1
0,0.03322,767.5,175.5,146.953,33.603,nan,nan,0
0,0.03322,783.5,175.5,150.017,33.603,10.6328,-8.8725,1
0,0.03322,799.5,175.5,153.080,33.603,11.3655,-5.8661,1
0,0.03322,815.5,175.5,156.144,33.603,11.8681,-5.1978,1
0,0.03322,831.5,175.5,159.207,33.603,nan,nan,0
0,0.03322,847.5,175.5,162.271,33.603,10.3723,-4.0461,1
0,0.03322,863.5,175.5,165.334,33.603,10.1378,-4.2181,1
0,0.03322,879.5,175.5,168.398,33.603,10.3924,-4.1095,1
0,0.03322,895.5,175.5,171.462,33.603,10.6007,-3.9827,1
0,0.03322,911.5,175.5,174.525,33.603,10.1453,-2.8303,1
0,0.03322,927.5,175.5,177.589,33.603,10.6545,-4.1582,1
0,0.03322,943.5,175.5,180.652,33.603,10.1625,-1.4583,1
0,0.03322,959.5,175.5,183.716,33.603,9.9531,1.0316,1
0,0.03322,975.5,175.5,186.779,33.603,10.5079,2.5609,1
0,0.03322,991.5,175.5,189.843,33.603,9.8131,2.9523,1
0,0.03322,1007.5,175.5,192.906,33.603,10.7546,14.6635,1
0,0.03322,1023.5,175.5,195.970,33.603,11.6317,4.8705,1
0,0.03322,1039.5,175.5,199.033,33.603,12.8628,3.9548,1
0,0.03322,1055.5,175.5,202.097,33.603,nan,nan,0
0,0.03322,1071.5,175.5,205.160,33.603,15.4256,1.8902,1
0,0.03322,1087.5,175.5,208.224,33.603,nan,nan,0
0,0.03322,1103.5,175.5,211.287,33.603,nan,nan,0
0,0.03322,1119.5,175.5,214.351,33.603,nan,nan,0
0,0.03322,1135.5,175.5,217.414,33.603,nan,nan,0
0,0.03322,1151.5,175.5,220.478,33.603,12.4510,-0.0263,1
0,0.03322,1167.5,175.5,223.541,33.603,10.8999,4.4395,1
0,0.03322,1183.5,175.5,226.605,33.603,10.4148,6.1659,1
0,0.03322,1199.5,175.5,229.668,33.603,9.9656,8.2903,1
0,0.03322,1215.5,175.5,232.732,33.603,7.2882,9.0685,1
0,0.03322,1231.5,175.5,235.796,33.603,6.0327,5.9584,1
0,0.03322,735.5,191.5,140.826,36.667,13.4090,-10.1227,1
0,0.03322,751.5,191.5,143.890,36.667,13.4644,-9.3465,1
