indice,t_s
0,0.000000
1,0.031250
2,0.062500
3,0.093750
4,0.125000
5,0.156250
6,0.234375
7,0.265625
8,0.304688
9,0.335938
10,0.367188
11,0.398438
12,0.429688
13,0.460938
14,0.492188
15,0.523438
16,0.554688
17,0.601562
18,0.640625
19,0.671875
20,0.703125
21,0.734375
22,0.765625
23,0.796875
24,0.828125
25,0.859375
26,0.890625
27,0.921875
28,0.953125
29,1.007812
30,1.039062
31,1.070312
32,1.101562
33,1.132812
34,1.164062
35,1.195312
36,1.226562
37,1.257812
38,1.289062
39,1.328125
40,1.359375
41,1.406250
42,1.437500
43,1.468750
44,1.500000
45,1.531250
46,1.562500
47,1.593750
48,1.625000
49,1.664062
50,1.695312
51,1.726562
52,1.757812
53,1.804688
54,1.835938
55,1.867188
56,1.898438
57,1.929688
58,1.968750
59,2.000000
60,2.031250
61,2.062500
62,2.093750
63,2.125000
64,2.156250
65,2.187500
66,2.234375
67,2.265625
68,2.304688
69,2.335938
70,2.367188
71,2.398438
72,2.429688
73,2.460938
74,2.492188
75,2.523438
76,2.554688
77,2.585938
78,2.640625
79,2.671875
80,2.703125
81,2.734375
82,2.765625
83,2.796875
84,2.828125
85,2.859375
86,2.890625
87,2.921875
88,2.953125
89,2.992188
90,3.039062
