frame,t_s,t_b_s,a_ok,a_x_px,a_y_px,a_x_mm,a_y_mm,a_area,b_ok,b_h_px,b_z_px,b_h_mm,b_z_mm,b_area
64,1.866943,1.866943,1,561.696655,505.000000,72.625839,65.295120,3,0,0.000000,0.000000,0.000000,0.000000,0
65,1.900391,1.900391,1,557.000000,497.000000,72.018578,64.260742,1,0,0.000000,0.000000,0.000000,0.000000,0
66,1.933838,1.933838,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
67,1.967041,1.967041,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
68,2.000488,2.000488,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
69,2.033691,2.033691,1,555.000000,463.000000,71.759979,59.864632,1,0,0.000000,0.000000,0.000000,0.000000,0
70,2.100342,2.100342,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
72,2.133789,2.133789,1,555.000000,440.956055,71.759979,57.014408,3,0,0.000000,0.000000,0.000000,0.000000,0
73,2.166992,2.166992,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
74,2.200439,2.200439,1,557.269409,427.261230,72.053406,55.243706,8,0,0.000000,0.000000,0.000000,0.000000,0
75,2.233643,2.233643,1,558.033325,419.000000,72.152184,54.175552,2,0,0.000000,0.000000,0.000000,0.000000,0
76,2.267090,2.267090,1,561.000000,414.016937,72.535767,53.531258,2,0,0.000000,0.000000,0.000000,0.000000,0
77,2.300537,2.300537,1,561.990112,403.059418,72.663780,52.114479,6,0,0.000000,0.000000,0.000000,0.000000,0
78,2.333740,2.333740,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
79,2.367188,2.367188,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
80,2.400391,2.400391,1,565.000000,380.016937,73.052956,49.135151,2,0,0.000000,0.000000,0.000000,0.000000,0
81,2.467041,2.467041,1,573.000000,361.043945,74.087334,46.681995,3,0,0.000000,0.000000,0.000000,0.000000,0
83,2.500488,2.500488,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
84,2.533691,2.533691,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
85,2.567139,2.567139,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
86,2.600586,2.600586,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
87,2.633789,2.633789,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
88,2.667236,2.667236,1,597.000000,321.000000,77.190468,41.504421,1,0,0.000000,0.000000,0.000000,0.000000,0
89,2.700439,2.700439,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
90,2.733887,2.733887,1,608.052612,303.992493,78.619537,39.305397,4,0,0.000000,0.000000,0.000000,0.000000,0
91,2.767090,2.767090,1,614.033325,298.033325,79.392830,38.534893,2,0,0.000000,0.000000,0.000000,0.000000,0
92,2.800537,2.800537,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
93,2.833740,2.833740,1,626.821899,283.664398,81.046356,36.677029,9,0,0.000000,0.000000,0.000000,0.000000,0
94,2.867188,2.867188,1,633.000000,275.000000,81.845169,35.556747,1,0,0.000000,0.000000,0.000000,0.000000,0
95,2.900635,2.900635,1,637.790100,271.851837,82.464516,35.149700,5,0,0.000000,0.000000,0.000000,0.000000,0
96,2.933838,2.933838,1,645.000000,267.000000,83.396736,34.522369,1,0,0.000000,0.000000,0.000000,0.000000,0
97,2.967285,2.967285,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
98,3.000488,3.000488,1,660.973328,253.017776,85.462044,32.714504,7,0,0.000000,0.000000,0.000000,0.000000,0
99,3.033936,3.033936,1,665.992371,248.083969,86.110992,32.076580,4,0,0.000000,0.000000,0.000000,0.000000,0
100,3.067139,3.067139,1,675.000000,241.000000,87.275650,31.160641,1,0,0.000000,0.000000,0.000000,0.000000,0
101,3.100586,3.100586,1,680.853882,234.406387,88.032547,30.308105,7,0,0.000000,0.000000,0.000000,0.000000,0
102,3.133789,3.133789,1,689.000000,228.030304,89.085815,29.483694,2,0,0.000000,0.000000,0.000000,0.000000,0
103,3.167236,3.167236,1,697.000000,225.000000,90.120193,29.091885,1,0,0.000000,0.000000,0.000000,0.000000,0
104,3.200684,3.200684,1,705.000000,217.000000,91.154572,28.057507,1,0,0.000000,0.000000,0.000000,0.000000,0
105,3.233887,3.233887,1,713.000000,212.000000,92.188950,27.411020,2,0,0.000000,0.000000,0.000000,0.000000,0
106,3.267334,3.267334,1,716.646301,211.450165,92.660408,27.339928,10,0,0.000000,0.000000,0.000000,0.000000,0
107,3.300537,3.300537,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
108,3.333984,3.333984,1,735.735046,200.678070,95.128525,25.947124,21,0,0.000000,0.000000,0.000000,0.000000,0
