indice,t_s
0,0.000000
1,0.031250
2,0.062500
3,0.109375
4,0.210938
5,0.273438
6,0.304688
7,0.335938
8,0.367188
9,0.398438
10,0.429688
11,0.460938
12,0.515625
13,0.546875
14,0.578125
15,0.609375
16,0.640625
17,0.671875
18,0.703125
19,0.734375
20,0.765625
21,0.796875
22,0.835938
23,0.867188
24,0.914062
25,0.945312
26,0.976562
27,1.007812
28,1.039062
29,1.070312
30,1.101562
31,1.132812
32,1.171875
33,1.203125
34,1.234375
35,1.265625
36,1.312500
37,1.343750
38,1.375000
39,1.406250
40,1.437500
41,1.468750
42,1.507812
43,1.539062
44,1.570312
45,1.601562
46,1.632812
47,1.664062
48,1.695312
49,1.742188
50,1.773438
51,1.804688
52,1.843750
53,1.875000
54,1.906250
55,1.937500
56,1.968750
57,2.000000
58,2.031250
59,2.062500
60,2.093750
61,2.140625
62,2.179688
63,2.210938
64,2.242188
65,2.273438
66,2.304688
67,2.335938
68,2.367188
69,2.398438
70,2.429688
71,2.460938
72,2.500000
73,2.546875
74,2.578125
75,2.609375
76,2.640625
77,2.671875
78,2.703125
79,2.734375
80,2.765625
81,2.796875
82,2.835938
83,2.867188
84,2.898438
85,2.945312
86,2.976562
87,3.007812
