indice,t_s,xc_px,yc_px
185,5.886752,631.799,349.576
186,5.935352,630.311,350.500
187,5.966571,629.362,351.097
188,5.999116,628.380,351.721
189,6.030071,627.453,352.316
190,6.061136,626.530,352.916
191,6.096837,625.480,353.607
192,6.127493,624.587,354.202
193,6.158477,623.693,354.804
194,6.190734,622.773,355.433
195,6.221533,621.905,356.034
196,6.250558,621.096,356.602
197,6.283023,620.204,357.237
198,6.314279,619.357,357.850
199,6.346656,618.492,358.485
200,6.376437,617.709,359.069
201,6.408133,616.890,359.692
202,6.439490,616.093,360.307
203,6.472596,615.267,360.957
204,6.508266,614.396,361.657
205,6.540731,613.621,362.294
206,6.575460,612.811,362.974
207,6.607746,612.075,363.606
208,6.640201,611.355,364.240
209,6.672519,610.655,364.871
210,6.703353,610.006,365.471
211,6.734128,609.375,366.069
212,6.765183,608.756,366.671
213,6.796309,608.155,367.273
214,6.825754,607.604,367.841
215,6.856764,607.042,368.437
216,6.886126,606.528,368.999
217,6.913903,606.058,369.530
218,6.943429,605.577,370.092
219,6.970587,605.150,370.607
220,7.028955,604.287,371.708
221,7.060355,603.854,372.296
222,7.093339,603.422,372.910
223,7.124665,603.035,373.491
224,7.156521,602.664,374.078
225,7.188496,602.315,374.664
226,7.242514,601.781,375.645
227,7.271253,601.524,376.163
228,7.300436,601.283,376.686
229,7.322576,601.114,377.080
230,7.343689,600.964,377.454
231,7.365100,600.823,377.831
232,7.386910,600.691,378.213
233,7.407055,600.578,378.565
234,7.427701,600.474,378.923
235,7.454703,600.352,379.388
236,7.479776,600.256,379.817
237,7.501201,600.185,380.182
238,7.523795,600.123,380.563
239,7.545538,600.076,380.928
240,7.568556,600.038,381.312
241,7.596331,600.009,381.772
242,7.623357,600.000,382.215
243,7.646469,600.006,382.591
244,7.667388,600.023,382.929
245,7.692242,600.058,383.327
246,7.720429,600.115,383.774
247,7.746870,600.187,384.190
248,7.767807,600.255,384.516
249,7.790226,600.341,384.862
250,7.813789,600.444,385.223
251,7.838266,600.566,385.594
252,7.859747,600.685,385.917
253,7.881411,600.816,386.239
254,7.906601,600.982,386.611
255,7.927856,601.135,386.921
256,7.949443,601.301,387.233
257,7.973184,601.496,387.572
258,7.997055,601.706,387.910
259,8.020553,601.926,388.239
260,8.043241,602.151,388.552
261,8.067702,602.406,388.887
262,8.092689,602.681,389.224
263,8.117534,602.969,389.555
264,8.138969,603.229,389.837
265,8.163012,603.533,390.149
266,8.185720,603.832,390.440
267,8.208341,604.141,390.726
268,8.232886,604.490,391.033
269,8.257418,604.851,391.334
270,8.280735,605.207,391.617
271,8.300652,605.519,391.855
272,8.325519,605.922,392.148
273,8.349320,606.319,392.424
274,8.376476,606.787,392.733
275,8.401171,607.226,393.009
276,8.426985,607.698,393.293
277,8.448480,608.100,393.525
278,8.471260,608.537,393.767
279,8.496827,609.040,394.033
280,8.518677,609.479,394.257
281,8.577622,610.708,394.840
